Company_name,Ticker,Headquarters_State,Headquarters_City,Date,Covid_19,helpful,Overall_Score,Work_Score,Culture_Score,Diversity_Score,Career_Score,Compensation_Score,Senior_Manage_Score,Past,Current,Intern,Contract,Freelance,Position,evaluation,Full_time,Part_time,Less_than_a_year,more_than_a_year,more_than_3_years,more_than_5_years,more_than_8_years,more_than_10_years,Pros,Cons,Advice to Management
Zillow,Z, WA,Seattle,Featured Review,Covid_19,Helpful,5.0,5.0,5.0,,5.0,5.0,5.0,,Current,,,, Zillow Offers Advisor,"Recommends, Positive Outlook, Approves of CEO",full time,,,More than a year,,,,,"I have been at Zillow for about a year and a half working in one of the newest divisions; Zillow Offers. I have experienced nothing but positive since joining this amazing company. The support we receive and the overall synergy and atmosphere is simply amazing. I have never experienced anything like this before. When I was first hired, the excitement to work for such an amazing brand was overwhelming and I can honestly say, they have lived up to their brand. Perfection. With everything going on in the world and Covid-19, no one was laid off. That was HUGE. When our division stopped buying homes, they found work for us in other departments and on other projects to keep us employed. The people are amazing. The benefits are amazing. I am truly happy here and would recommend Zillow to everyone!",I do not have any cons. I love it there. Zillow... is the best!,Management is awesome. They really support you!
Zillow,Z, WA,Seattle,"March 29, 2021",,,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,Current,,,, Sales Executive,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,,,Flex bike work/life balance with work from home,High standards with minimal adjustment,None
Zillow,Z, WA,Seattle,"March 26, 2021",,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,Current,,,, Data Scientist,"Recommends, Positive Outlook, Approves of CEO",full time,,,,More than 3 years,,,,"Zillow has a truly data driven culture. The whole employee stack is top notch (PM, Eng, Design, Data, Marketing ect.). Zillow is lead by one of the few truly visionary leaders in tech, Rich Barton. It feels like a start up that is chasing an ambitious world changing goal, but with all the support, organization and infrastructure of a big tech company. Zillow cares about employee well being and this is demonstrated by the benefits. On top of that the workforce is distributed. I just moved from Seattle > Arizona significantly increasing my quality of life.  Cant speak highly enough about working here. I'll be happily working here for the foreseeable future!",Zillow is disrupting Real estate. To do this we need to be nimble. This has resulted in some re-orgs to better deliver on opportunity in front of us. With this comes growing/changing pains.  With that said leadership is transparent about the rationale and employees always fully buy into to make these challenging restructurings work.,None
Zillow,Z, WA,Seattle,"March 28, 2021",,,5.0,4.0,5.0,5.0,4.0,4.0,5.0,Former,,Intern,,, Applied Scientist,None,,,,,,,,,The team is great and people are helpful and friendly there. The compensation is good.,"The pace is fast, but it depends on the teams.",None
Zillow,Z, WA,Seattle,"March 28, 2021",Covid_19,,5.0,4.0,4.0,4.0,5.0,4.0,4.0,,Current,,,, Data Scientist II,NULL,full time,,,More than a year,,,,,Great place to work  Working with some of the brightest minds in the field,Mostly a function of covid and not connecting with employees,None
Zillow,Z, WA,Seattle,"March 24, 2021",,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Former,,Intern,,, SDE,None,,,less than a year,,,,,,"Excellent team support, wide variety of activities, felt like they allocated a significant amount of energy to supporting our growth",Maybe a greater push towards intern events?,None
Zillow,Z, WA,Seattle,"March 25, 2021",,,5.0,5.0,5.0,5.0,4.0,5.0,5.0,,Current,,,, Senior Software Development Engineer ,"Recommends, Positive Outlook, Approves of CEO",full time,,,More than a year,,,,,"supportive work/life balance, interesting work, socially conscious company",The new remote/hydrid model may not work for some,None
Zillow,Z, WA,Seattle,"March 22, 2021",,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,Current,,,, Estimator ,"Recommends, Positive Outlook, Approves of CEO",full time,,,More than a year,,,,,"It's the best job I've ever had, trust me. The benefits, the culture, the benefits (again).",We don't have as many group outings anymore,None
Zillow,Z, WA,Seattle,"March 1, 2021",,,5.0,5.0,5.0,5.0,4.0,5.0,5.0,,Current,,,, Senior Recruiter Tech,"Recommends, Positive Outlook, Approves of CEO",full time,,,More than a year,,,,,"Company culture, people, pay, job content, remote","The people are too nice? Honestly, everyone is so genuine and real. It is like everyone who was fed up with bureaucracy at the other large tech companies came here and are making this the space they always wanted to work at.",Keep being accessible to folks at every level. You do that now and it shows how much you care about the employees and the future of the company.
Zillow,Z, WA,Seattle,"March 19, 2021",,,5.0,,,,,,,Former,,,,Freelancer, Sales Associate ,None,,,,,,,,,Great company great atmosphere fun place,No cons at all really great place,None
Zillow,Z, WA,Seattle,"January 30, 2021",,(3),2.0,2.0,4.0,5.0,3.0,5.0,2.0,,Current,,,, Sales Executive ,"Doesn't Recommend, Negative Outlook, Approves of CEO",full time,,less than a year,,,,,,Coworkers are great and everyone is willing to help out. My manager is fantastic and always supports me. The benefits are also pretty good.,"The sales rules are cut throat. If you miss more than 2 months of quota during a rolling 5 month period then you’re immediately fired, even during your ramp up as a new hire.   There’s no real additional training/performance program to help you grow and get better. You’re constantly under the stress of wondering if you’re going to get fired each month. You only get 2 weeks of quota relief in a year, so if you take time off, then you better make sure you’re hitting quota otherwise you’re penalized. You’re also not allowed to work weekends to try to make up for the missed sales to hit quota, and they limit what times you can process sales.  Zillow is spending a ton of money on a churn and burn sales force. Rather than training their existing sales execs, they replace them.",None
Zillow,Z, WA,Seattle,"March 1, 2021",,(2),4.0,1.0,5.0,5.0,5.0,5.0,5.0,,Current,,,, Business Consultant ,Approves of CEO,full time,,,More than a year,,,,,Get to be apart of a growing company! Healthcare and stock benefits are very lucrative. You get to work with the best of the best and feel challenged.,Work/life balance is impossible. The onboard training is terrible and will not set you up for success. Management doesn’t really take the time to help you thrive. You either sink or swim. The fear of being fired is such an integral part that it is very prominent in the sales culture. Zillow has fantastic perks but you won’t be able to find any time to enjoy them if you’re in sales.,None
Zillow,Z, WA,Seattle,"March 15, 2021",,(1),4.0,5.0,5.0,5.0,3.0,4.0,5.0,,Current,,,, Pricing Analyst,"Recommends, Positive Outlook, Approves of CEO",full time,,,More than a year,,,,,"Work Life balance, Management, Culture, Team mates","Bonuses, Salary increases, Upward mobility","They have minimal salary increases every year or so. Usualy 2 or 3 percent. I wish that Zillow would understand that cost of living and home prices are far outpacing the increase in wages. Wage increases every year should be somehow connected to inflation, cost of living and home price increases in the area."
Zillow,Z, WA,Seattle,"September 3, 2020",Covid_19,,5.0,4.0,5.0,,4.0,5.0,3.0,,Current,,,, Software Development Engineer,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,More than 5 years,,,"- Lots of internal growth of employee resource groups in the past couple of years, giving minority groups the ability to build a community and push for a more diverse and inclusive environment - Internal mobility program also allows for personal growth - Great work-life balance with many in management setting the example - Lots of great mentorship opportunities, either as a mentor or a mentee - Benefits are excellent, especially in terms of health insurance - Company handled quarantine awesomely, business looks strong for the foreseeable future - Work-from-home for nearly all employees through the end of 2020, with moves to allow for teams to be more flexible on WFH in 2021 - Volunteering and charity donations are encouraged, and can be matched by the company (up to $100/yr per employee)","- Like most companies, your direct manager determines how much of the company culture is applied to your day-to-day. Many are great, however, there are certain teams which may be run a bit differently, so work-life balance may not be enforced or modeled by leadership there. - Lots of ""happy hours"" and drinking alcohol during celebrations. There have been some moves made in the past year to address this, by offering non-alcoholic drinks at functions, and covid has reduced the rest of the events, so there may be changes in the future. - Work-from-home is not work-from-remote, as your compensation is based on where you live. So moving out of CA or WA to the midwest would invoke a salary reduction - Not much diversity in the exec team, even after several years of ""addressing it"" - Humongous gap in terms of compensation between lowest paid employees and C-suite",None
