Company_name,Ticker,Headquarters_State,Headquarters_City,Date,Covid_19,helpful,Overall_Score,Work_Score,Culture_Score,Diversity_Score,Career_Score,Compensation_Score,Senior_Manage_Score,Past,Current,Intern,Contract,Freelance,Position,evaluation,Full_time,Part_time,Less_than_a_year,more_than_a_year,more_than_3_years,more_than_5_years,more_than_8_years,more_than_10_years,Pros,Cons,Advice to Management
Zebra Technologies,ZBRA, IL,Lincolnshire,"March 15, 2021",,,5.0,5.0,3.0,3.0,4.0,4.0,3.0,,Current,,,, Software Engineer ,"Recommends, Approves of CEO",full time,,,,,,,,Zebra has a great work life balance.,I can't think of any cons.,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"March 31, 2021",,,5.0,,,,,,,Former,,Intern,,, Internship ,"Recommends, Approves of CEO",,,less than a year,,,,,,"Good pay, great culture and well planned",One of my managers did not communicate with me very well,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"March 6, 2021",,,5.0,3.0,5.0,5.0,2.0,4.0,3.0,Former,,,,, Procurement Manager,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,More than 5 years,,,"Aside from the stupendous people, company culture, and compensation package,  1. I really appreciated Zebra's approach to promoting the personal learning and development of its team members, and the resources and platform provided as part of the approach (including openness to in-person attendance of events and travel costs - if any). 2. Zebra had great focus on Inclusion and Diversity which was very refreshing. 3. I was also impressed with Zebra's willingness to invest in systems and tools (implementation, maintenance, enhancement/innovation and support) that make the jobs of the employees easier, more productive and more efficient (vs limping along with manual processes and/or rudimentary MS Office-based applications). 4. Promoting innovation was also a strong cultural value.","1. While Zebra clearly promoted learning & development and provided opportunities for growth and new experiences at the same general job level, there was no clear career path outlining how to advance, and - for those who target growth into leadership as part of their career journey - there was limited opportunity for advancement.  2. Related to this, when hiring for leadership positions, there seemed to be a strong bias to candidates with work experience in consulting services (i.e., ex-consultants) - most of whom were external candidates. This was very limiting and frustrating to internal candidates who had built strong experience within the company and in whom so much had been invested by Zebra in their professional development (which seemed to be all mis-utilized by the general tendency to continuously hire leaders from the outside).  3. Also, advancement opportunity seemed uneven across different business functions (e.g., new leaders (Directors and above) were being named in IT, HR and Marketing almost every other year - some even jumping from manager to Senior Director within a couple of years vs other areas where senior individual contributors or managers stagnate for many years). 4. Lastly, while also trying to promote innovation, there was an aversion to attempts at relatively significant system- or process changes (even those that had a relatively good business case). The preference was in the general safety of smaller, incremental innovations or improvements.","Ex-consultants bring great experience, but so do your internal team members in whom you've invested so much. Also, where there may be a reasonable case for such, don't be afraid of making bigger innovations or changes; many times higher risk yields higher return."
Zebra Technologies,ZBRA, IL,Lincolnshire,"March 25, 2021",,,4.0,,,,,,,,Current,,,, Senior Business Development Manager,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,,,co workers and flexible schedule,new commission plan is significantly less than 2020 plan,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"March 17, 2021",Covid_19,,4.0,3.0,5.0,5.0,4.0,3.0,4.0,Former,,,,, Technical Product Owner,"Recommends, Positive Outlook, Approves of CEO",full time,,less than a year,,,,,,Strong focus on Diversity and Inclusion,Too many 7 am meetings.,Focus on employee balance and well-being during the pandemic.
Zebra Technologies,ZBRA, IL,Lincolnshire,"March 19, 2021",,,5.0,5.0,5.0,5.0,3.0,4.0,4.0,,Current,,,, Repair Technician,"Recommends, Positive Outlook, Approves of CEO",full time,,,More than a year,,,,,good management great insurance great PTO no judgement values employees,waiting period to get hired on by the company,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"March 1, 2021",,,5.0,5.0,5.0,5.0,2.0,3.0,5.0,,Current,,,, Engineer ,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,,,"Laid back culture, very smart coworkers, strong attention to quality, minimal levels of administrative nonsense, highly collaborative environment, interesting work. Buy zebra stock if you're smart","Mediocre comp, insultingly low annual salary increases, slow moving work environment is not great for learning, slow career advancement, insultingly low bonuses even when the company has a great year",Pay more if you want people to stay.
Zebra Technologies,ZBRA, IL,Lincolnshire,"March 18, 2021",,,4.0,3.0,4.0,5.0,3.0,4.0,3.0,,Current,,,, Information Technologies ,NULL,full time,,,,,,,More than 10 years,Big focus on Inclusion & Diversity,Sometimes too risk adverse and slow to move,None
Zebra Technologies,ZBRA, IL,Lincolnshire,"March 17, 2021",,,4.0,3.0,3.0,4.0,4.0,3.0,3.0,Former,,,,, Technician,"Recommends, Positive Outlook, No opinion of CEO",full time,,less than a year,,,,,,Good working environment and people.,Low payment and overtime. I hope it got better.,No specific advice
Zebra Technologies,ZBRA, IL,Lincolnshire,"March 5, 2021",,,4.0,4.0,5.0,5.0,3.0,5.0,4.0,,Current,,,, Business Development Manager,"Recommends, Positive Outlook",full time,,,,More than 3 years,,,,"Great Benefits, Great People, Longevity",Antiquated internal systems and very difficult to get things built by IT,Management can sometimes be afraid to rock the boat when it needs to be....
