Company_name,Ticker,Headquarters_State,Headquarters_City,Date,Covid_19,helpful,Overall_Score,Work_Score,Culture_Score,Diversity_Score,Career_Score,Compensation_Score,Senior_Manage_Score,Past,Current,Intern,Contract,Freelance,Position,evaluation,Full_time,Part_time,Less_than_a_year,more_than_a_year,more_than_3_years,more_than_5_years,more_than_8_years,more_than_10_years,Pros,Cons,Advice to Management
Zodiac Aerospace,ZC, France,Plaisir,"January 11, 2020",,,5.0,5.0,5.0,,5.0,5.0,5.0,Former,,Intern,,, Intern ,"Recommends, Neutral Outlook, Approves of CEO",,,,,,,,,Great team and fun work,"Not enough to do, early hours",None
Zodiac Aerospace,ZC, France,Plaisir,"October 1, 2020",,,4.0,4.0,4.0,,4.0,4.0,5.0,Former,,,,, Production Supervisor,"Recommends, Positive Outlook",full time,,,,,,More than 8 years,,"Everyone was always willing to help on another to achieve our daily, weekly, and monthly goals.",Not having quality parts from vendors ro ship quality units on time.,"N/A as we were bought out by another company, even with all the improvements made."
Zodiac Aerospace,ZC, France,Plaisir,"October 12, 2020",,(1),3.0,5.0,5.0,,3.0,4.0,3.0,Former,,,,, Senior Mechanical Systems Integration Engineer,"Recommends, Neutral Outlook",full time,,,,,,More than 8 years,,-Flexible Work environment - Good benefits and perks - Stable company,"- After few years, growth is limited",None
Zodiac Aerospace,ZC, France,Plaisir,"June 25, 2020",,,5.0,5.0,5.0,,4.0,4.0,3.0,Former,,,,, Quality Assurance Engineer,"Recommends, Neutral Outlook, No opinion of CEO",full time,,,More than a year,,,,,"Professional environment, employee focus, great training modules","unorganized work, not enough work force for job demands",None
Zodiac Aerospace,ZC, France,Plaisir,"May 9, 2020",,,4.0,5.0,5.0,,5.0,5.0,5.0,Former,,Intern,,, Internship,"Recommends, Neutral Outlook, Approves of CEO",,,less than a year,,,,,,"Great people who are willing to share a lot of information about the industry, great mentorship Lots to learn and do",Disagreements from management employees in supporting departments cause for slow downs on progression of projects,None
Zodiac Aerospace,ZC, France,Plaisir,"May 5, 2020",,,4.0,,,,,,,Former,,,,Freelancer," Director, Manufacturing Engineering Management","Recommends, Positive Outlook, No opinion of CEO",,,,,,More than 5 years,,,Good salary and benefits. With Safran becoming more system structured,"Not very stable, some executive leadership not at right level",None
Zodiac Aerospace,ZC, France,Plaisir,"June 24, 2020",,,3.0,3.0,3.0,,3.0,4.0,4.0,Former,,,,, Engineer II,"Recommends, Negative Outlook, No opinion of CEO",full time,,,,,More than 5 years,,,"Good people, large turnover in executive team",Needed more IT people to assist with requests.,None
Zodiac Aerospace,ZC, France,Plaisir,"June 17, 2020",,,2.0,,,,,,,,Current,,,, Agent ,NULL,full time,,,,,,,,Schedule is worked with for you,Too many changes With the company,None
Zodiac Aerospace,ZC, France,Plaisir,"February 29, 2020",,,4.0,4.0,3.0,,4.0,4.0,3.0,Former,,,,, Production Supervisor,"Recommends, Positive Outlook, No opinion of CEO",full time,,,,,More than 5 years,,,great place to work I enjoyed my 7 years with the company.,HR department was not staple,More involvement with production floor staff
Zodiac Aerospace,ZC, France,Plaisir,"April 6, 2020",,,2.0,3.0,1.0,,4.0,5.0,1.0,Former,,,,, Anonymous Employee,"Doesn't Recommend, Negative Outlook, Disapproves of CEO",full time,,,More than a year,,,,,Co workers and some of the benefitd,"HR pretends like people aren’t getting mistreated at this company. Managers try to get people fired by creating false stories and production floor employees are treated like slaves. There a lot of good things about the company, but working with destructive managers makes it not worth it to work there.",None
Zodiac Aerospace,ZC, France,Plaisir,"March 28, 2020",,,3.0,4.0,2.0,,2.0,3.0,2.0,Former,,,Contractor,, Mechanical Engineer,"Doesn't Recommend, Negative Outlook, No opinion of CEO",,,less than a year,,,,,,"Snacks, when they are available, some really good Engineers.","Very few seasoned Engineers to mentor ""just-out-of-college"" kids. Work ethics is practically non-existent, mid-Management can't make a decision even on the simplest issue for months.",Mid-Management defines the success of the Company. You have very few good ones. Fix it!
Zodiac Aerospace,ZC, France,Plaisir,"April 27, 2020",,,3.0,,,,,,,Former,,,,, Production Planner,NULL,full time,,,,,More than 5 years,,,Great place to get experience in a fast paced environment.,"Always room for improvement, need full culture change.",Be more open with employees. Ensure culture change from top to bottom.
Zodiac Aerospace,ZC, France,Plaisir,"May 1, 2020",,,2.0,,,,,,,Former,,,,, Mechanical Design Engineer ,NULL,full time,,,,More than 3 years,,,,Flexible work schedule. Every second Friday off.,Poor management skills. Stressful environment.,Keep your employees motivated.
Zodiac Aerospace,ZC, France,Plaisir,"April 24, 2020",,,1.0,1.0,3.0,,1.0,4.0,1.0,Former,,,,, Anonymous Employee,"Doesn't Recommend, Negative Outlook, No opinion of CEO",full time,,less than a year,,,,,,The medical benefits were good.,"Overcrowded, deficient in number of restrooms (used toilet paper on all of the floors, with lines 20 or more deep of waiting employees). Bad management who overworked their employees; 80+ hours per week was an expectation, with no additional compensation.",None
Zodiac Aerospace,ZC, France,Plaisir,"January 6, 2020",,,3.0,,,,,,,Former,,,,, Industrialization Manager ,NULL,full time,,,,More than 3 years,,,,Great Products Great Benefits A lot of learning opportunities,Frequent change of executive and upper management team Not focus on people first,None
Zodiac Aerospace,ZC, France,Plaisir,"May 1, 2019",,,3.0,3.0,3.0,,3.0,4.0,3.0,Former,,,,, CNC Tube Driller,"Recommends, Neutral Outlook, No opinion of CEO",full time,,,,,,,More than 10 years,The med: ins:ok.benefits over all were good could use a couple more Paisa off.most of the people were good people to work with and around.benefits over all were pretty good.,HR department needs a overhaul must of the under management is poor and Realy don't help employees like they should .HR is supposed to be there to let workers know about there benifits and how they work.help them in anyway they can not push them off on others and treat them with respect.when other employees ascuse others of harrasment or what ever needs to be more investigated thureley and proper when someone tells the truth that should be taking in consideration and mot jump the gun and fire them but maybe suspend them on 1st.affinces .,Over all a lot of the mid management was not good and fair
Zodiac Aerospace,ZC, France,Plaisir,"June 30, 2019",,,4.0,4.0,4.0,,4.0,4.0,4.0,,Current,,,, Global Supply Chain Planner ,NULL,full time,,,,,,,,People are good to work with,Lots of changes after being merged,None
Zodiac Aerospace,ZC, France,Plaisir,"June 22, 2019",,,5.0,5.0,5.0,,5.0,,5.0,Former,,,,, Assembly Worker,NULL,full time,,less than a year,,,,,,I had worked in the company before,"Fianal assembly, use small hand tools",None
Zodiac Aerospace,ZC, France,Plaisir,"April 18, 2019",,,4.0,5.0,5.0,,4.0,3.0,5.0,Former,,Intern,,, Intern ,"Recommends, Positive Outlook, Approves of CEO",,,less than a year,,,,,,The management is very involved with the warehouse workers,Pay is relative to a small town,None
Zodiac Aerospace,ZC, France,Plaisir,"July 23, 2019",,,3.0,4.0,3.0,,4.0,2.0,3.0,Former,,,,, Project Engineer ,"Doesn't Recommend, Neutral Outlook, No opinion of CEO",full time,,,,More than 3 years,,,,Amazing Chief Engineers. Great first work experience.,"Usually late for projects, bad program management Low budget Difficult to hire talent",None
Zodiac Aerospace,ZC, France,Plaisir,"June 13, 2019",,,3.0,3.0,4.0,,2.0,3.0,4.0,Former,,,,, Quality Assurance ,Recommends,full time,,,,,,,,The environment was like family. Everyone worked together for common goals. Dedication was shown on almost every person.,A lot of changes to management and staff without warning. Caused a lot of nervousness and confusion.,None
Zodiac Aerospace,ZC, France,Plaisir,"August 18, 2019",,,1.0,3.0,1.0,,1.0,2.0,2.0,Former,,,,, Supply Chain,"Doesn't Recommend, Negative Outlook, Disapproves of CEO",full time,,,,More than 3 years,,,,"Dedicated team, gained valuable experience of the aerospace industry","Poor leadership, no vision or understanding of each business unit’s strengths",Ask questions to understand. Don’t assume you know it all because you’re from corporate.
Zodiac Aerospace,ZC, France,Plaisir,"January 2, 2019",,,2.0,2.0,3.0,,2.0,1.0,2.0,Former,,,,, Development Engineer,"Doesn't Recommend, Negative Outlook, Disapproves of CEO",full time,,,,,More than 5 years,,,"Good product lines. Great technical challenges with Customers changing their minds often, but that's expected.","The QA and Production leadership are on experienced with having to delivercomplex products and under demanding Customer oversight. Marketing management is only short sighted, today's bottom line, and not really working new business - living off the laurels of the past. Current GM doesn't know the difference.","Start treating the employees with respect. The challenges are real, but can be closed more easily if all departments acted like one business. For the past couple of years, the silos amd finger pointing has gone out of control and several department heads are protected."
Zodiac Aerospace,ZC, France,Plaisir,"July 9, 2019",,,2.0,1.0,2.0,,1.0,1.0,1.0,Former,,,Contractor,, Operations Specialist (Contractor) ,"Doesn't Recommend, Negative Outlook",,,,,,,,,Great Employees and teams at the Peachtree location,There is a change to policies everyday; not consistent.,None
Zodiac Aerospace,ZC, France,Plaisir,"February 4, 2019",,,4.0,4.0,2.0,,1.0,3.0,1.0,,Current,Intern,,, 777x Design ,"Recommends, Neutral Outlook, No opinion of CEO",,,,,,,,,-Friendly environment -40 hour weeks -Laid Back,-Slow at times -Minimal direction or instruction,Instruct employees to have a plan with interns before they arrive.
Zodiac Aerospace,ZC, France,Plaisir,"January 9, 2019",,,4.0,5.0,2.0,,4.0,5.0,3.0,,Current,,,, Anonymous Employee ,"Recommends, Negative Outlook, No opinion of CEO",full time,,,,,,,,The best Boss I have ever had.,Behind in the times. Top management needs to change,Care about your customer
Zodiac Aerospace,ZC, France,Plaisir,"January 13, 2019",,,4.0,3.0,4.0,,2.0,3.0,3.0,Former,,,,, Slide Technician,"Recommends, Positive Outlook, No opinion of CEO",full time,,,More than a year,,,,,Good people to work with.,"Fast paced, low pay (for a&p a technician) and no advancement.",None
Zodiac Aerospace,ZC, France,Plaisir,"January 19, 2019",,,5.0,,,,,,,,Current,,,, Human Resources Generalist ,NULL,full time,,,,,,,,"work life balance, good benefits",no room to advance with your career,None
Zodiac Aerospace,ZC, France,Plaisir,"December 27, 2018",,,1.0,1.0,1.0,,1.0,3.0,1.0,Former,,,,, Anonymous Employee,"Doesn't Recommend, Negative Outlook, Disapproves of CEO",full time,,,,,More than 5 years,,,The team atmosphere used to be the best part of working here but management has found a way to destroy the morale to the point that nobody wants to be here any longer.,- Poor management - Deadlines are never met - Endless meetings - A constant CYA and finger pointing environment - Every employee is just a number. No one is treated with respect or humanity - Employees that do nothing are able to stay employed and be a drain to the team - Management is clueless - The working hours are horrendous - The parking situation sucks I could go on and on,Kick all the management out and start over
Zodiac Aerospace,ZC, France,Plaisir,"August 12, 2018",,,3.0,1.0,1.0,,1.0,3.0,1.0,Former,,,Contractor,, Anonymous Contractor ,None,,,,,,,,,"I worked the night shift bringing parts out to assembly workers. It was pretty good hourly pay for a job requiring no skills, and the workload was actually really light. (They said it's a ""fast pace environment,"" but I usually got my work done in the first half of the shift.) The other workers were pretty friendly, if a little odd.","Management seemed to be looking for fault, and they didn't seem to know how anything worked. One manager kept trying to come back into the warehouse to find particular parts (which I would be able to locate within a minute) and would take half an hour searching in the wrong place. Everyone there had the mentality that they were working a dead-end job, and I wouldn't want to work there full time as a ground-level employee.",None
