Company_name,Ticker,Headquarters_State,Headquarters_City,Date,Covid_19,helpful,Overall_Score,Work_Score,Culture_Score,Diversity_Score,Career_Score,Compensation_Score,Senior_Manage_Score,Past,Current,Intern,Contract,Freelance,Position,evaluation,Full_time,Part_time,Less_than_a_year,more_than_a_year,more_than_3_years,more_than_5_years,more_than_8_years,more_than_10_years,Pros,Cons,Advice to Management
Zendesk,ZEN, CA,San Francisco,Featured Review,Covid_19,,5.0,5.0,5.0,,5.0,3.0,5.0,,Current,,,, Instructional Designer,"Recommends, Positive Outlook, Approves of CEO",full time,,,More than a year,,,,,"Company culture is great -- they really value people and relationships, and communicate well. They've been really supportive of their employees throughout Covid and there are interesting, creative initiatives that help us feel connected despite the distance.",The base salary is a bit on the low side compared to instructional design salaries elsewhere in tech in the Bay Area.,None
Zendesk,ZEN, CA,San Francisco,"March 26, 2021",,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,Current,,,, Sales Development Representative (SDR),"Recommends, Positive Outlook, Approves of CEO",full time,,less than a year,,,,,,Great company to work for,No cons at the moment,None
Zendesk,ZEN, CA,San Francisco,"January 13, 2021",,(2),5.0,3.0,5.0,5.0,4.0,5.0,5.0,Former,,,,, SMB Account Executive,"Recommends, Positive Outlook, Approves of CEO",full time,,less than a year,,,,,,"Incredible pay- both base and commission. Nearly limitless perks. Awesome benefits. Modern, downtown office with a view, Kombucha and beer on tap. Free fully stocked kitchen. 2 week training in California, annual trips with a pretty unlimited spending budget. Great people, great culture. Cool startup vibe.","Very complex product- an endless amount to know with endless questions, and constantly changing. Can be tough getting answers for prospects and customers which leads to a lot of frustration on both ends. Can also be very difficult talking to super technical IT folks without having a technical background.",Streamline the internal resources rather than having information in so many different places. Hire more technical people to pull onto calls when we know in advance we're going to be handling a lot of technical questions.
Zendesk,ZEN, CA,San Francisco,"January 20, 2021",,(3),5.0,5.0,5.0,5.0,4.0,4.0,5.0,,Current,,,, Technical Architect,"Recommends, Positive Outlook, Approves of CEO",full time,,,More than a year,,,,,"I've loved working for Zendesk, and have very few ""grass is greener"" considerations.   Pros: Work/Life Balance. Beautiful Offices and Good Coffee. Generally Cool, Smart colleagues.  Quickly Growing Company (and Stock Price).","Salary seems to not be fully competitive. A very small percentage of employees engage in seemingly petty behavior. Quickly growing, so some processes aren't optimized.","Stay true to the virtue of humblidence. Keep the culture of empathy alive. Vet hires against desired cultural qualities. Keep Mikkel in power as long as he can tolerate it... After all, he doesn't seem to abuse his power (other than being a hilarious nuisance on Slack)..."
Zendesk,ZEN, CA,San Francisco,"March 14, 2021",,,5.0,5.0,5.0,4.0,4.0,5.0,5.0,,Current,Intern,,, Marketing Intern,Recommends,,,,,,,,,"Can live wherever you want since it's remote, relaxed company culture, flexible",permanently remote so you can't always go to the office,None
Zendesk,ZEN, CA,San Francisco,"March 4, 2021",,,5.0,5.0,5.0,4.0,,5.0,,,Current,,,, Software Engineer,NULL,full time,,,More than a year,,,,,"Committment to Diversity, Equity, and Inclusion Challenging and supporting work environment and coworkers","Like many growing companies, things move very quickly",None
Zendesk,ZEN, CA,San Francisco,"February 10, 2021",Covid_19,Helpful,2.0,1.0,2.0,3.0,2.0,1.0,2.0,Former,,,,, Account Executive,"Doesn't Recommend, Approves of CEO",full time,,,More than a year,,,,,"For the most part, good benefits and you will have all of the tech resources you need to do your job. A great entry into the service and SaaS world and an impressive resume builder.   They do a great job recruiting and hiring intelligent and fun individuals and if you want an in-office job they will be returning in some form post covid.   As an SDR and AE you have the name recognition and a fairly steady flow of inbound leads & you’re able to work and close expansions.","Of course there were fun times like happy hours and team events, but overall the sales organization at Zendesk was honestly exhausting and toxic. Someone shared this with me and it 100% sums up my experience at Zendesk, “I thought I was at a company with a great culture until I left and realized I was just at a place where I worked with my friends”   When I started, people genuinely loved their jobs and had a work life balance - that was not the case for me or many of my colleagues. To highlight a few reasons: - Culture fell to the wayside, and while there were some added benefits for your wellbeing during covid, it was a band aid approach. - While there are 20 PTO and 10 sick days, most sales reps could not take all or even a majority of them because of high quotas.  - If there was a “fair” quota, it did not exist for long and sales reps were treated as machines to pump out their number.  - Salaries are below market standards with little to no room to negotiate during internal promotions.  - This past year there were widespread examples of new reps with less experience (external and internal) with higher salaries than tenured reps. When it was brought up to management, reps were shamed for sharing salaries.  - If you are hired into a new role or there is a major change to the department, forget your work life balance - hello overtime, stress & burnout!   The level of micromanagement and lack of trust was outstanding. Management’s focus was rarely on what worked well for the individual rep and only on how to keep everyone “in check”. Certain managers discouraged or even prohibited reps from leaving their desk to work in soft spaces around the office, from booking rooms to have meetings/make calls in, or pre-covid from having the flexibility to work from home.   There were a few managers that were truly great but they were the exception and oftentimes had to stick their neck out on behalf of their team.   Another extremely frustrating part of Zendesk was the career progression.  - The ability to transition to other departments was advertised and encouraged during the interview process, but that was not the case.  - There was a lack of consistency with internal promotions and of the requirements to be considered.  - Promotion requirements went from a holistic approach on brand, contribution, activity, and attainment, to an added tenure requirement, and ended where the main focus was on quota attainment.  - Even during a pandemic, internal reps who came close on attainment were not considered, despite consistently high activities and who were qualified on all other fronts.  I was honestly lucky with my experience of promotions, but I witnessed many talented and exceptional peers screwed over, and ultimately it all came down to internal politics and favoritism.   If you can put your head down and be a compliant worker who shows up, does not speak in opposition, and can ignore everything except what absolutely infuriates you, then you will do fine in the sales org at Zendesk.   If you want to feel like you're making an impact and thrive in a collaborative, feedback welcomed culture, you'll probably be disappointed.   I’m grateful for my experience and the friends I’ve made, but unfortunately for Zendesk, no one I’ve spoken with has regretted leaving, their only regret was thinking something would change and waiting it out as long as they did.","Listen to your employees and actually action their feedback. Go fix your sales org - lesson the workload for AEs so they can actually sell and give back a work life balance with competitive salaries (not just competitive when you hit accelerators). Give career progression opportunities - help individuals who want to change departments and promote those loyal, hardworking employees before they have no choice but to leave."
Zendesk,ZEN, CA,San Francisco,"March 8, 2021",,,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,Current,,,, ESMB Account Executive,"Recommends, Positive Outlook, Approves of CEO",full time,,less than a year,,,,,,"Great people, great perks, cool customers","Unorganized, many changes, Start-Up-like at times",None
Zendesk,ZEN, CA,San Francisco,"February 5, 2021",,,5.0,5.0,5.0,4.0,3.0,4.0,4.0,,Current,,,, Technical Architect,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,More than 5 years,,,"Constant Learning opportunities, Ability to make impacts internal and external",Lots of change and self guided learning/problem solving so it can be difficult to juggle priorities (its not for everyone),keep looking for ways to change to meet the needs of customers and employees
Zendesk,ZEN, CA,San Francisco,"February 14, 2021",,,5.0,5.0,5.0,5.0,4.0,4.0,5.0,Former,,,,, Designer,"Recommends, Positive Outlook, Approves of CEO",full time,,,More than a year,,,,,Great work-life balance and incredible teammates,Usual growing pains that come with growing fast,None
