Company_name,Ticker,Headquarters_State,Headquarters_City,Date,Covid_19,helpful,Overall_Score,Work_Score,Culture_Score,Diversity_Score,Career_Score,Compensation_Score,Senior_Manage_Score,Past,Current,Intern,Contract,Freelance,Position,evaluation,Full_time,Part_time,Less_than_a_year,more_than_a_year,more_than_3_years,more_than_5_years,more_than_8_years,more_than_10_years,Pros,Cons,Advice to Management
ZoomInfo,ZI, WA,Vancouver,Featured Review,,(5),5.0,5.0,5.0,5.0,5.0,5.0,5.0,,Current,,,," Manager, Account Management","Recommends, Positive Outlook, Approves of CEO",full time,,less than a year,,,,,,Zoominfo gives their employees all of the tools to be successful. The expectation is that you work hard but if you to you will be rewarded. This is true throughout all levels of the organization. There is constant recognition of hard work and success. Everyone is open to feedback as there is one mission in mind and that is how do we get better every single day as individuals and an organization to serve our customers/future customers better. I couldn't be more impressed with an organization. Great pay and great people.,I have not run into any yet.,Keep recognizing the hard work people are putting in and making sure they are compensated for doing it. It goes a long way that every leader in the organization sets the example on the level of hard work and excellence that is expected.
ZoomInfo,ZI, WA,Vancouver,"March 29, 2021",,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,Current,,,, Vice President Revenue Operations,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,,,Zoominfo is a unique place that is growing quickly and building the next great software company. Coming from a large slow growth company this is what I was looking for. - Fast growing with much opportunity to build your career - Leadership team focused on growing company and building a world class team - Opportunity to be exposed to different roles and responsibility - Strong talent and opportunity to learn and prosper - Competitive pay and benefits,- Fast pace is not suited for all but if you are striving to deliver world class results this is the place. - Growth comes quick and roles grow organically and challenge you beyond original scope,None
ZoomInfo,ZI, WA,Vancouver,"March 19, 2021",,,4.0,2.0,3.0,4.0,4.0,4.0,4.0,,Current,,,, Anonymous Employee ,"Recommends, Positive Outlook, Approves of CEO",full time,,less than a year,,,,,,"If you are ambitious, have grit, determination, and passion. ZoomInfo is a great place to be. The work will be a challenge everyday, but the people that embrace that mindset are worth working with, for, and a pleasure to get to know - even virtually. The company recognizes continuous improvement and readily accepts feedback on all levels.","Management is struggling to keep up with communications across the company and the engineering org in particular. There does seem to be some momentum in this space and there have been improvements along the way, but they are going through some growing pains for sure. PM and Engineering have some bridges to build, but the work is being done.   Work/Life balance suffers due to the rapid pace of this growing company. Resource constraints add to the dependency on the teams. You'll need to embrace the hard work culture.",Continue to look for creative ways to share information not only across the company but on individual team levels. Spend the money on training and skills development. Choose a direction and commit to work being planned.
ZoomInfo,ZI, WA,Vancouver,"February 15, 2021",,(4),5.0,5.0,5.0,4.0,5.0,5.0,5.0,,Current,,,, Data Analyst,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,,,"ZoomInfo's culture is fast-paced and exciting. They are all about growth and professional/personal development and they provide a lot of opportunities to employees to reach their goals, including management training, technical courses, and internal promotions. I love that the company offers 401K and HSA matching, as well as equity to all employees. I've made so many friends here over the years, and my coworkers are so kind and helpful. The leadership team provides updates on how the company is doing and where it is heading on a quarterly basis, and they set aside time to recognize the top performers.","Since so much of our culture revolves around continuous growth and striving to be the best in our industry, there have been times where I've seen the assumption that we already are the best just taken at face value by leaders and peers. Sometimes, we need to take a step back, be honest with ourselves, and ask whether a strategy or process is really working or if we need to move in another direction. However, this issue is relatively small compared to everything I love about working at ZoomInfo.",None
ZoomInfo,ZI, WA,Vancouver,"March 11, 2021",,(11),2.0,1.0,2.0,3.0,2.0,1.0,2.0,Former,,,,, Account Executive,"Doesn't Recommend, Neutral Outlook, Disapproves of CEO",full time,,,More than a year,,,,,"Product has good features, some strong sales leaders, lots of inbound leads","- Too many sales reps with no structure or territory. Everything is round robin and you only get quality leads if you have an ""in"" with the SDR team - Pricing is about 5x of most competitors - Data quality varies greatly, making hard to sell a solution that you know has flaws - Management churns through about 10% of sales reps every quarter. I closed over $1m in ARR, coming in at 97% quota attainment and was put on a PIP for ""lack of performance"". Meanwhile reps who closed $500k are still employed. - If you weren't hired pre-aquisition of DiscoverOrg and ZoomInfo, you have no job stability. Out of my class of 10 new hires, I was the last to remain employed after only 1 year - Very low commission rates (lowest I've ever seen in sofware sales) - Commissions paid on cash collected, so you may have to wait over 6 months to get your commission on a sale. If someone doesn't pay, the sales rep turns into a bill collector - No visibility in commission calculations - At the end of the day you are just another number out of hundreds of reps - Shady agreements with high annual uplifts and automatic renewals that lock in customers against their wishes",Invest more resources into retaining your top talent sales reps. If you cared more about your employees you wouldn't have such a high churn rate. Also paying reps on cash collected is ludicrous. I've never seen another software company hold commissions hostage after you close a deal.
ZoomInfo,ZI, WA,Vancouver,"March 22, 2021",,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,Current,,,, Executive Recruiter,"Recommends, Positive Outlook, Approves of CEO",full time,,less than a year,,,,,,ZI is very focused on its employees. I have found that everyone that I have connected with in the company from the highest to the lowest levels wants to help you move the company ball forward as well as your own ball forward. The company still has a start-up vibe in that things are fast-paced and pivot. For me I thrive in this environment. Be prepared to work hard in exchange for great benefits and a positive culture. I look for passionate people who are looking to make an impact and blaze new paths. That is a great culture fit.,I haven't experienced cons yet. I guess if someone is looking for a job to check-in and out of 9-5 daily then a fast-growing company is probably not the best fit. But if you like working hard to build something amazing then joining is a good fit.,"Keep up the great benefits, vacation policy and RSUs!"
ZoomInfo,ZI, WA,Vancouver,"March 11, 2021",Covid_19,Helpful,5.0,3.0,5.0,5.0,5.0,5.0,5.0,,Current,,,," Product Management, Sales ","Recommends, Positive Outlook, Approves of CEO",full time,,,,,,,,* You get to experience the thrill of one of the fastest-growing public companies on planet earth  * Cutting edge technology with the intersection of applied AI & ML in B2B space  * Super humble nice people still with the start-up mindset  * Founder led business ensures 100% focus on outcomes rather than politics of large organization  * Winning team culture mentality   In summary: You get to experience the thrill and joys of working in a leading-edge technology startup with the safety net of a well-run capitalized multibillion-dollar public company.,* Super fast pace not ideal for large company work culture mindset. Workload may sometimes feel overwhelming.,"* Please continue to foster the culture of ""You be you"". Sustaining this culture in challenging times is going to be interesting (Although, the team did great defying the odds in the Coronavirus pandemic through sheer will and force)"
ZoomInfo,ZI, WA,Vancouver,"January 27, 2021",,(3),5.0,5.0,5.0,5.0,5.0,5.0,5.0,,Current,,,, Customer Success Manager,"Recommends, Positive Outlook, Approves of CEO",full time,,less than a year,,,,,,"This place has integrity.   I have been in some version of a sales org for most of my career and this is the first company that I feel truly means what they say. They deliver an incredible product and they care for their customers. When a customer has an issue its all hands on deck to make things right as fast as possible. As an employee, I feel supported and heard. I never feel pressured to do something that isn't in the best interest of the customer and even though they are here to make money they do it because they are selling a solid product and they care for all parts of this business. They do what they say and they are always working to be better. The upward mobility is also INSANE I love this job. Apply you won't regret it.","There is a required test in order to be interviewed. As someone who is miserable at tests but thrives in social spaces, this was really inconvenient. It seems to keep people out of the org that may be an amazing fit but, like doesn't do well with tests.",None
ZoomInfo,ZI, WA,Vancouver,"March 17, 2021",,(12),1.0,1.0,1.0,3.0,2.0,1.0,1.0,Former,,,,, Customer Success ,"Doesn't Recommend, Positive Outlook, No opinion of CEO",full time,,,More than a year,,,,,Some of my peers were the best people I've worked with. It feels nice to be a part of a company that outwardly appears successful.,- The Scare tactics to drive productivity and compliance from the top down are unlike anything I've seen before.  - Forget providing constructive feedback and expecting anything to change. - The desire to cut costs at the expense of employee well-being (ie instituting such a restrictive travel budget that reps are staying in hostels in the ghetto and getting bed bugs WHILE TRAVELING FOR WORK) -After being downright LIED to multiple times I stopped believing my leaderships explanation for anything. - they think it doesn't make it through the grapevine that they do shady things with our customer's data via the chrome extension and certain integrations - This company lives for appearances and optics instead of caring about doing the right thing and doing right by their employees. - It will wear on your mental and physical health. They don't care if you are flat out 8 hours a day. Platitudes about their understanding is all you will get. There is such a high turn over rate that you might have a team of 15 but only 10 are fully ramped at any given time - Managers will gossip to you than ABOUT you without batting an eye.,I gave you my advice for years and nothing came of it. Maybe start there.
ZoomInfo,ZI, WA,Vancouver,"March 17, 2021",,,5.0,4.0,5.0,5.0,5.0,4.0,5.0,,Current,,,, Anonymous Employee,"Recommends, Positive Outlook, Approves of CEO",full time,,less than a year,,,,,,"- Very high focus on growth and innovation - Extremely fast paced, from churning out new products to making decisions - Fantastic tech stack, can learn a lot in engineering - Really committed and hard working team. There is a certain secret sauce out here which keeps people engaged and motivated.","- The fast pace may not be to everyone's liking. - Growing pains that are associated with not being a startup anymore. Inadequate processes, low knowledge of what 'best in class' looks like, etc","Keep innovating, while continuing to focus on reliability and quality of the platform. Balance internal expertise with learning from the best wheel-makers outside the company."
