Company_name,Ticker,Headquarters_State,Headquarters_City,Date,Covid_19,helpful,Overall_Score,Work_Score,Culture_Score,Diversity_Score,Career_Score,Compensation_Score,Senior_Manage_Score,Past,Current,Intern,Contract,Freelance,Position,evaluation,Full_time,Part_time,Less_than_a_year,more_than_a_year,more_than_3_years,more_than_5_years,more_than_8_years,more_than_10_years,Pros,Cons,Advice to Management
WillScot Mobile Mini Holdings,WSC, AZ,Phoenix,Featured Review,,(2),4.0,,,,,,,,Current,,,, Yard Worker,"Recommends, Positive Outlook, Approves of CEO",full time,,,,More than 3 years,,,,Excellent Work benefits and environment,Working outside in adverse weather conditions,None
WillScot Mobile Mini Holdings,WSC, AZ,Phoenix,"April 7, 2021",,(1),5.0,5.0,5.0,5.0,5.0,5.0,5.0,,Current,,,, National Account Manager,"Recommends, Positive Outlook, Approves of CEO",full time,,,,More than 3 years,,,,"Professional, caring innovative and not afraid of change.",Uncertainty of the future of our division.,None
WillScot Mobile Mini Holdings,WSC, AZ,Phoenix,"April 6, 2021",,,5.0,4.0,4.0,3.0,4.0,4.0,4.0,,Current,,,, Anonymous Employee ,"Recommends, Positive Outlook, Approves of CEO",full time,,less than a year,,,,,,"I joined shortly after the merger of both companies, and it is has been great so far! I have only been here about 2 months but I already feel like I am making an impact. It is a large company, that still feels small and I feel like I will have a long career here.",The commute could be a little shorter and working from home a couple of days would be nice.,None
WillScot Mobile Mini Holdings,WSC, AZ,Phoenix,"April 10, 2021",,,4.0,3.0,2.0,2.0,4.0,4.0,1.0,Former,,,,, Technician,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,More than 5 years,,,Great pay and good overtime,Too strict micro management safety extreme to the point of ridiculous,Back off a little bit
WillScot Mobile Mini Holdings,WSC, AZ,Phoenix,"April 2, 2021",,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,Current,,,, Territory Sales Manager,"Recommends, Positive Outlook, Approves of CEO",full time,,,,More than 3 years,,,,If you are self motivated and hard working there are plenty of opportunities to grow and make money. The manager”s take the time to invest in you and your future with the company. Started as an Inside Sales Rep and recently promoted and relocating.,Company is growing so while there are lots of opportunities for growth there have been a lot of changes to adjust to.,None
WillScot Mobile Mini Holdings,WSC, AZ,Phoenix,"April 1, 2021",,(1),5.0,5.0,5.0,5.0,5.0,4.0,5.0,,Current,,,, National Account Manager,"Recommends, Positive Outlook, Approves of CEO",full time,,,,More than 3 years,,,,"With a growth mindset to grow revs, the answer to your thoughts and ideas are often, yes. This thought process leads to outstanding collaboration amongst peers and execs alike.","With any growth oriented company, there are growing pains. The pros though, far outweigh the cons.",Continue to embrace outside the box thinking and retain top talent through internal promotion opportunities.
WillScot Mobile Mini Holdings,WSC, AZ,Phoenix,"March 31, 2021",,,2.0,2.0,3.0,2.0,2.0,3.0,2.0,,Current,,,, Customer Success Specialist,"Doesn't Recommend, Neutral Outlook, Disapproves of CEO",full time,,,More than a year,,,,,"Mostly friendly people, management included.","Too many to list, but the main thing is not a lot of accountability seems to be held and the service the customers get is also affected.   Management is I guess what you’d expect with any corporate job. Favoritism, and a toxic work culture. I’ve heard people here use discriminatory words freely. Last of all, It’s also tough to get mgmt on a phone if you have a true issue.",Get to know your employees better and get a better understanding of their strengths and weaknesses before putting them in roles. Everyone is expected to just go with the flow and when questions are asked you’re supposed to know the answers already...
WillScot Mobile Mini Holdings,WSC, AZ,Phoenix,"April 1, 2021",,(1),5.0,5.0,4.0,4.0,5.0,4.0,4.0,,Current,,,, Digital Representative ,"Recommends, Positive Outlook, Approves of CEO",full time,,,,More than 3 years,,,,Work - Life balance / team work / always someone to talk to to get better at the job.,Hourly pay should be equal to all sales reps a crossed the board,None
WillScot Mobile Mini Holdings,WSC, AZ,Phoenix,"March 31, 2021",,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,Current,,,, Human Resource Director,"Recommends, Positive Outlook, Approves of CEO",full time,,less than a year,,,,,,"Great company values, focus on I&D, competitive compensation & benefits.",none to list yet (been with company <1 year),None
WillScot Mobile Mini Holdings,WSC, AZ,Phoenix,"April 6, 2021",,,3.0,4.0,3.0,2.0,3.0,3.0,2.0,,Current,,,, Production Supervisor,"Recommends, Positive Outlook, Approves of CEO",full time,,,,More than 3 years,,,,Then work is straight forward. The hours are nice 7-330. Overall they try to recognize and reward the employee,To much red tape when decisions need to be made.,Trust employees to make the right decisions.
