Company_name,Ticker,Headquarters_State,Headquarters_City,Date,Covid_19,helpful,Overall_Score,Work_Score,Culture_Score,Diversity_Score,Career_Score,Compensation_Score,Senior_Manage_Score,Past,Current,Intern,Contract,Freelance,Position,evaluation,Full_time,Part_time,Less_than_a_year,more_than_a_year,more_than_3_years,more_than_5_years,more_than_8_years,more_than_10_years,Pros,Cons,Advice to Management
WSP,WSH, Canada,Montreal,"February 19, 2021",,,5.0,5.0,4.0,4.0,4.0,3.0,5.0,,Current,,,, ENGINEER,"Recommends, Positive Outlook, Approves of CEO",full time,,,More than a year,,,,,"Flexible, friendly, opportunities, salary, responsibility","no EOY bonus, pay grade",None
WSP,WSH, Canada,Montreal,"March 21, 2021",,(5),5.0,1.0,1.0,1.0,3.0,2.0,1.0,,Current,,,, Engineer,"Doesn't Recommend, Negative Outlook, Disapproves of CEO",full time,,,,,More than 5 years,,,"Large firm, so you get to be involved with a lot of different types of projects. There are a lot of opportunities to learn as an entry level professional.","I have been working at the WSP NYC office for over 5 years. I enjoyed the first few years but things have gone downhill quickly in the last few months. The new management team is solely focused on profitability. We are being asked to meet unrealistic goals, creating a very toxic environment. There have been several rounds of layoffs from entry level professionals to senior managers over the last few months. Each Friday, people are afraid of bad news. Employees are treated as if they are disposable.","Refocus on what a consulting firm is about, it's people."
WSP,WSH, Canada,Montreal,"March 29, 2021",,(2),2.0,1.0,2.0,5.0,4.0,1.0,2.0,,Current,,,, Department Manager,"Doesn't Recommend, Negative Outlook, Disapproves of CEO",full time,,,,,,More than 8 years,,"Size of company. When you get fed up with the same report/meetings 5 times a week, you can go work for another group and have different talking points at the same mundane meetings until you get bored of them too...","All of their ""benefits"" they keep promoting are for their P11's *upper management* and higher. ""Oh well if employee contributed their max, they would save more""... yeah. if you didn't slash our salary by 30%, maybe i could afford to contribute more....","I don't care about your media wins, progress reports, and ""just checking in"" 5 times a week. You cut our salary by 30%, cut our staff by 27%, and wonder why our productivity tanked. If you expect me to overperform, then quit with the all the extra BS. Forcing us to attend these meetings to stroke your ego's and these ""lunch and learns""... you all keep buying out these other companies and all you're doing is buying them out of their debt and tanking our brand. Well done."
WSP,WSH, Canada,Montreal,"March 31, 2021",,,2.0,1.0,2.0,4.0,4.0,3.0,1.0,,Current,,,, Transportation,"Doesn't Recommend, Neutral Outlook, No opinion of CEO",full time,,,,,,,More than 10 years,Staff and coworkers are wonderful Variety of projects and national presence Opportunities for advancement if you are assertive.,Reorganization has crippled staff Raises and bonuses are not tied to performance  Management lacks direction or focus,"Stop buying debt-laden firms for pennies on the dollar as fake “growth” - the rest of us have to increase productivity beyond normal human levels to make up for the shortcomings of the terrible decisions made by Louis Berger, E&E, Golder, or whatever next dying firm you buy. "
WSP,WSH, Canada,Montreal,"February 13, 2021",,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Former,,,,, Internship,NULL,,part time,less than a year,,,,,,"Very healthy corporate culture, I was always given the tools I needed to complete a task, and encouraged to ask questions when necessary. They tried to expose me to many different areas instead of pigeonholing me in menial work, which can sometimes happen with internships. Pay was also very good, $20 an hour.","There were times when there just wasn't enough work, and as the intern, you are the last to be fed, so to speak. So there were days where I'd just be sitting at my desk plugging through tutorials because there was nothing else to do.","I was honestly really impressed by WSP. Maybe offer more ways for interns to connect with each other? I worked with one other intern in my office, but having access to interns in other disciplines could be valuable."
WSP,WSH, Canada,Montreal,"March 27, 2021",,,4.0,3.0,3.0,5.0,5.0,4.0,5.0,,Current,,,, Engineer ,NULL,full time,,,,,,,,There is a wide variety of high profile projects and the engineers are very knowledge and will provide mentorship and guidance.,Health Benefits are expensive .,None
WSP,WSH, Canada,Montreal,"March 30, 2021",,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,Current,,,, Mechanical Engineer,NULL,full time,,,,,,,,Good range of projects overall.,None that I can think of.,None
WSP,WSH, Canada,Montreal,"March 29, 2021",,,4.0,4.0,4.0,5.0,4.0,3.0,3.0,Former,,,,, Technician,NULL,full time,,,,,More than 5 years,,,Well organised company and well valued,Too corporate and not same work,None
WSP,WSH, Canada,Montreal,"March 27, 2021",,,4.0,4.0,4.0,3.0,4.0,3.0,3.0,,Current,,,, Anonymous Employee,"Recommends, Positive Outlook",full time,,,,,More than 5 years,,,Great Projects Room for Growth Good Network of Engineers,Sometimes disorganized Projects can become repetitive.,None
WSP,WSH, Canada,Montreal,"April 3, 2021",,,3.0,4.0,4.0,3.0,2.0,4.0,2.0,Former,,,,, Lead Engineer,"Doesn't Recommend, Negative Outlook",full time,,,,,More than 5 years,,,"work flexibility, and good benefits","lack of growth, senior leadership out of touch with day to day issues that effect.the different sectors",None
WSP,WSH, Canada,Montreal,"April 2, 2021",,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Former,,,,, Accountant ,"Doesn't Recommend, Disapproves of CEO",full time,,,,,,,,Not that I can think of. Benefits are no good and accounting is treated as the hired help and not back up by the archaic accounting management,Get a job there and maybe you will have to see for yourself.,None
WSP,WSH, Canada,Montreal,"March 23, 2021",,,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,Current,,,, Water Resources Engineer II,"Recommends, Positive Outlook, Approves of CEO",full time,,,More than a year,,,,,Excellent culture and fair compensation.,Health insurance options are just OK.,None
WSP,WSH, Canada,Montreal,"March 21, 2021",,,5.0,4.0,4.0,4.0,4.0,5.0,4.0,,Current,,,, Project Manager,Approves of CEO,full time,,,More than a year,,,,,Great Team of People to work with!,Potential to Growth is limited,None
