Company_name,Ticker,Headquarters_State,Headquarters_City,Date,Covid_19,helpful,Overall_Score,Work_Score,Culture_Score,Diversity_Score,Career_Score,Compensation_Score,Senior_Manage_Score,Past,Current,Intern,Contract,Freelance,Position,evaluation,Full_time,Part_time,Less_than_a_year,more_than_a_year,more_than_3_years,more_than_5_years,more_than_8_years,more_than_10_years,Pros,Cons,Advice to Management
West Pharmaceutical Services,WST, PA,Exton,Featured Review,,,5.0,5.0,5.0,4.0,3.0,5.0,4.0,,Current,,,, R&D Technician,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,,,"nice environment,great company to work","excellent package, atmosphere and peoole",None
West Pharmaceutical Services,WST, PA,Exton,"March 8, 2021",,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,Current,,,, R&D,"Recommends, Positive Outlook, Approves of CEO",full time,,less than a year,,,,,,I am working at the research & development,I have not seen any issues so far,N/A
West Pharmaceutical Services,WST, PA,Exton,"March 24, 2021",,,4.0,5.0,5.0,5.0,4.0,4.0,5.0,,Current,,,, Associate Scientist,"Recommends, Positive Outlook, Approves of CEO",full time,,less than a year,,,,,,Everyone is friendly and helpful. There is a career path in every department and they’re willing to work with you if you want to gain experience in a different department. Same goes for lab work if there’s equipment you want experience with or another group you’d like to work with. The culture is very inclusive from all levels.,"Some positions have ceilings, but that goes for any company. There isn’t a metrology team, which forces the analysts to spend time evaluating equipment that isn’t running properly. It’s my opinion that adding a metrology team would allow the analysts to complete more revenue generating work.",Continue to be inclusive and hold the “open door” policy. The culture here is very integrated and I have yet to run into anyone that makes me feel like I’m beneath them. I believe work environment is a large contributing factor to employee’s satisfaction & success; I believe West is doing their part at keeping the work environment positive.
West Pharmaceutical Services,WST, PA,Exton,"March 17, 2021",,(6),2.0,5.0,2.0,3.0,3.0,4.0,1.0,Former,,,,, Senior Manager ,"Doesn't Recommend, Neutral Outlook, No opinion of CEO",full time,,less than a year,,,,,,Most people were nice to work with. I was luck to have worked for one of the best managers,A certain senior leader makes decisions based on who he likes or more so who he dislikes. A disgusting person who has no right to past judgement on someone he hardly knows without giving the chance to cultivate growth. Would rather throw away talent he knows nothing about then learn more about that persons skillsets.,Learn to listen to your people. Dont let someone high on the chain of command make decisions based on who you think you wont get along with or think you'll have challenges with.
West Pharmaceutical Services,WST, PA,Exton,"March 22, 2021",,(1),3.0,,,,,,,,Current,,,, Operator ,NULL,full time,,,,,,,,The pay way slightly above adequate,It is a chaotic atmosphere with little to no communication,Offer better shift choices
West Pharmaceutical Services,WST, PA,Exton,"February 15, 2021",,,4.0,,,,,,,,Current,,,, Module Operator,None,full time,,less than a year,,,,,,Days off Pay Laid back Everyone’s chilled out,Mandatory ot 12 hour days Being stuck on nights,None
West Pharmaceutical Services,WST, PA,Exton,"January 15, 2021",,(1),1.0,1.0,1.0,1.0,3.0,3.0,3.0,Former,,,,, Production Assembler,"Doesn't Recommend, Neutral Outlook, No opinion of CEO",,part time,less than a year,,,,,,"Paygrade is pretty good, nice building and worksite","Where do I begin, oh yeah, racism and some hidden microaggressions. I've quietly dealt with a group of dudes that would make comments behind my back as if I didn't hear them, playing it off as if it was a joke. Then you have some other employees gossiping behind your back as well, mind you I don't personally know those employees. Dealing with that messed up my mental health, in turn, made me not want to attend work at all. Reading two reviews on West Pharmacuticles, here in Scottsdale, about the discrimination they received proved my point entirely.","Loose the racist employees. They have no business working in leadership positions. You want this company to continue a successful business? You want diversity, inclusitivity, and to encourage a safe workplace/environment for each and every employee? Check your morals and show some respect to minorities."
West Pharmaceutical Services,WST, PA,Exton,"February 12, 2021",,,4.0,4.0,4.0,3.0,4.0,4.0,4.0,Former,,,,, Anonymous Employee,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,More than 8 years,,"Solid market dynamics, strong manufacturing and technical assets, high quality standards, nice HQ location","Slow to make decisions, complex matrix",Improve customer focus
West Pharmaceutical Services,WST, PA,Exton,"February 16, 2021",,,5.0,2.0,5.0,5.0,5.0,5.0,1.0,,Current,,,, HSE Engineer,NULL,full time,,,,,,,,"Good collaboration, great resources, fun teams",NONE that I can think of,None
West Pharmaceutical Services,WST, PA,Exton,"March 22, 2021",,(2),1.0,1.0,1.0,1.0,1.0,1.0,1.0,Former,,,,, Anonymous Employee,"Doesn't Recommend, Negative Outlook, Disapproves of CEO",full time,,,,,,,More than 10 years,I no longer work there. Best thing that ever happened was leaving.,Too many to write. This place will suck your soul right out of your body.,None
West Pharmaceutical Services,WST, PA,Exton,"February 10, 2021",,,4.0,,,,,,,Former,,,,, Student,NULL,full time,,,,,,,,There were nice people there,Not enough collaboration with others,None
West Pharmaceutical Services,WST, PA,Exton,"February 4, 2021",,,5.0,,,,,,,,Current,,,, HSE Manager,NULL,full time,,,,,,,,Good Benefits Management will to listen and change.,Some jobs / tasks can be hard.,None
West Pharmaceutical Services,WST, PA,Exton,"January 29, 2021",,,5.0,3.0,3.0,3.0,3.0,4.0,2.0,,Current,,,, Production Operator,"Recommends, Neutral Outlook, No opinion of CEO",full time,,,,,More than 5 years,,,Good pay per hour Good benefits Fitness Center,Lots of overtime High turnover rate,Be more personable 
West Pharmaceutical Services,WST, PA,Exton,"February 27, 2020",,(6),5.0,5.0,5.0,,5.0,5.0,5.0,,Current,,,, Team Leader,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,More than 5 years,,,"Global, growing business; Great purpose in supporting patient health; Friendly work environment; Flexible working hours; Community outreach a big part of culture",Keeping costs down means budgets can be tight at times,"This is a great company to work for. It's not often that you can find a major, multi-billion dollar global healthcare business with international headquarters based here, in the heart of Chester County, PA. This company has a great business model in that it partners with all the major pharmaceutical companies. So, in terms of impact, its reach is far and wide. As an employee, it's nice to be a part of a business that makes such a big impact on patient lives. As a growing business, with a long history, there's a mix of both established employees, who have been with the company for many years, and lots of brand new employees too. When you meet people who have been a part of the company for thirty-plus years, you know you've found a company that's worth being a part of. New employees are bringing fresh thinking and newer ways of working to the table, and the combination of these two factors is creating positive change within West. There's also a real spirit of community at West. The work the teams do to raise money for local charities is impressive, and you can tell it's an important part of the culture. As the company continues to grow, management should continue to stay true these great cultural attributes, while they embrace new strategies that will help the company thrive in the future."
West Pharmaceutical Services,WST, PA,Exton,"December 31, 2020",,(1),4.0,4.0,4.0,5.0,4.0,3.0,3.0,,Current,,,, Quality Auditor,"Neutral Outlook, No opinion of CEO",full time,,less than a year,,,,,,Optional stock buy-in Great co-workers Great opportunity to learn new skills,"Leadership is lacking, though through no fault of my co-workers As of the date and time of this review, there is no formal Quality Manager or Supervisor",None
West Pharmaceutical Services,WST, PA,Exton,"February 4, 2021",,,1.0,1.0,1.0,2.0,1.0,3.0,1.0,,Current,,,, Module Operator,"Doesn't Recommend, Positive Outlook, Disapproves of CEO",full time,,,,,,More than 8 years,,The hourly pay is the only good thing for this area,"Any issues you have your told to ""deal with it"" operating presses blind because of fogged up goggles. The equipment doesn't work half the time, so your performance is low which effects your raise. They are putting new equipment into a plant that is already to small. It's just bad. They have no clue what your job entails.",Absolutely nothing
West Pharmaceutical Services,WST, PA,Exton,"December 15, 2020",,,5.0,5.0,5.0,5.0,4.0,4.0,4.0,,Current,,,, Senior Software Engineer,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,,,Flexible hours Great pool of talented engineers Interesting projects Successful Company,Distribution of work can be skewed,Listen to your people and understand that your future is dependent on products youa are designing right now.
West Pharmaceutical Services,WST, PA,Exton,"January 31, 2021",,,3.0,5.0,,5.0,,5.0,,Former,,,,, Customer Service ,NULL,full time,,,,,,,,"The insurance, hours, pay and people.","Keep your head down, don’t be noticed.",None
West Pharmaceutical Services,WST, PA,Exton,"December 11, 2020",,,4.0,,,,,,,,Current,,,, Engineer ,NULL,full time,,,,,,,,"Flexible ,work life balance is promoted","Pay scale needs to revised,Retainment",None
West Pharmaceutical Services,WST, PA,Exton,"December 10, 2020",,,4.0,3.0,4.0,3.0,4.0,5.0,4.0,Former,,,,, Senior Mechanical Engineer ,"Recommends, Neutral Outlook, No opinion of CEO",full time,,,,,More than 5 years,,,"Wide variety of strong ""tribal"" knowledge",None that I can think of...,None
