Company_name,Ticker,Headquarters_State,Headquarters_City,Date,Covid_19,helpful,Overall_Score,Work_Score,Culture_Score,Diversity_Score,Career_Score,Compensation_Score,Senior_Manage_Score,Past,Current,Intern,Contract,Freelance,Position,evaluation,Full_time,Part_time,Less_than_a_year,more_than_a_year,more_than_3_years,more_than_5_years,more_than_8_years,more_than_10_years,Pros,Cons,Advice to Management
Woodward,WWD, CO,Fort Collins,"March 28, 2021",,,5.0,4.0,5.0,5.0,4.0,4.0,5.0,,Current,,,, Field Service Engineer,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,More than 8 years,,"quality products that you are confident in, supportive teams, availability of information across divisions and groups","low pay compared to similar companies,",None
Woodward,WWD, CO,Fort Collins,"March 30, 2021",,,4.0,3.0,4.0,5.0,3.0,4.0,3.0,,Current,,,, QA/QC Inspector,"Recommends, Positive Outlook, No opinion of CEO",full time,,,,,,,More than 10 years,Good pay and excellent benefits,Extremely demanding and very long hours,Be more courteous to members
Woodward,WWD, CO,Fort Collins,"March 23, 2021",,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Former,,Intern,,, Engineering Intern,"Recommends, Positive Outlook, Approves of CEO",,,,,More than 3 years,,,,"Great place to work, great team, great management.",There are no cons for Woodward.,None
Woodward,WWD, CO,Fort Collins,"March 2, 2021",,,4.0,4.0,3.0,4.0,3.0,4.0,3.0,,Current,,,, Mechanical Engineer,"Recommends, Positive Outlook, Approves of CEO",full time,,,,More than 3 years,,,,There's a good balance between having opportunities to learn the design and manufacturing of a product. Everyone is typically nice and supportive towards anything you don't know and support for your work.,"Miscommunication of information flow down from leadership. More work than attainable falls down on one individual, half the time during unplanned times.",Need to provide more positive culture and consistently enhance the morale for everyone.
Woodward,WWD, CO,Fort Collins,"March 16, 2021",,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,Former,,,,, Painter,"Doesn't Recommend, Neutral Outlook, Disapproves of CEO",full time,,,,,More than 5 years,,,most of the people you work with are very level headed and nice to be around,middle to upper management always seems out to get you. They like to use language to make you feel like your job is always on the line and a monkey can fill in for you at any time. Also they pay is garbage,get some people skills
Woodward,WWD, CO,Fort Collins,"January 15, 2021",,,4.0,5.0,5.0,4.0,2.0,5.0,1.0,,Current,,,, Senior Software Engineer ,"Recommends, Positive Outlook, No opinion of CEO",full time,,,,,More than 5 years,,,Genuinely fascinating work in the electro-mechanical space. It is a pleasure to work on interesting problems that require all engineering disciplines to collaborate.,"Far too much management, not enough engineering staff.   Of the engineering staff, it feels like a minority actually provide value to the organization.",Reorganize management in a meaningful way. Re-evaluate white-collar staff and determine who is actually providing value. Offer more competitive starting salaries and hire engineers who are passionate about problem solving. I have personally seen brilliant kids who loved working at Woodward leave because of their direct report. It's an absolute shame.
Woodward,WWD, CO,Fort Collins,"February 21, 2021",,,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,Current,,,, Operations Technician,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,,,Pay is pretty good once you get all your CI projects finalized.,"HR is not the best, seems like they don't care but say they do.",Listen to your employees
Woodward,WWD, CO,Fort Collins,"January 27, 2021",,,4.0,4.0,5.0,2.0,4.0,4.0,4.0,,Current,,,, Engineering Dev Technician,NULL,full time,,,,,More than 5 years,,,"They have some of the best benefits you can get. The vacation and sick time is generous compared to other companies. They encourage you to grow your career, and will help pay for school to accomplish it.",HR controls every aspect of this company. A lot of talent can be lost or misplaced. Because you have people that are disconnected from the actual process doing some of the hiring.,None
Woodward,WWD, CO,Fort Collins,"March 7, 2021",,,3.0,1.0,2.0,3.0,2.0,4.0,1.0,,Current,,,, Machinist,"Doesn't Recommend, Negative Outlook, Disapproves of CEO",full time,,,More than a year,,,,,"Benefits, good coworkers, clean facility","Toxic management, high employee turn over, constant overtime and shift changes, long term employees quiting daily due to rapidly declining work culture.","Hire Supervision that doesn't talk down to employees and treat you like a number, go back to how you treated your employees 10 yrs ago."
Woodward,WWD, CO,Fort Collins,"February 15, 2021",,,4.0,4.0,4.0,4.0,3.0,4.0,3.0,Former,,,,, Mechanical Assembler,"Recommends, Neutral Outlook, Approves of CEO",full time,,,,,,,More than 10 years,Good hours and Good benefits,None to speak of currently,None
Woodward,WWD, CO,Fort Collins,"January 19, 2021",,,4.0,5.0,3.0,4.0,4.0,4.0,3.0,Former,,,,, Senior Operations Engineer,"Recommends, Positive Outlook, No opinion of CEO",full time,,,,More than 3 years,,,,Excellent work-life balance A great deal of autonomy Good pay Good benefits,"Limited development Some managers are great, some are bad Slow moving company, for better or worse, quite a few unmotivated co-workers",Don't be afraid to fire people who aren't performing
Woodward,WWD, CO,Fort Collins,"March 5, 2021",,,2.0,3.0,3.0,3.0,3.0,4.0,1.0,,Current,,,, Shipping and Receiving,"Doesn't Recommend, Positive Outlook, No opinion of CEO",full time,,,,,,,,Steady work. Day job. Busy all thetime.,Lacks leadership skills. Reactive instead of proactive.,None
Woodward,WWD, CO,Fort Collins,"March 1, 2021",,(1),2.0,1.0,1.0,2.0,2.0,2.0,1.0,Former,,,,, Machinist,"Doesn't Recommend, Neutral Outlook, Disapproves of CEO",full time,,,,,More than 5 years,,,Good insurance plan if you are a non-smoker,Managers are deceitful and target workers as scapegoats,Develop some ethics
Woodward,WWD, CO,Fort Collins,"January 29, 2021",,,5.0,,,,,,,Former,,,,, Landscaper ,NULL,,part time,,,,,,,Excellent and loved to work here.,I could think of no cons of working here.,None
Woodward,WWD, CO,Fort Collins,"January 28, 2021",,,4.0,,,,,,,,Current,,,, Manufacturing Engineer,NULL,full time,,,,,,,,Big enough for the individual to grow in the company.,May take a long time.,None
Woodward,WWD, CO,Fort Collins,"January 27, 2021",,,5.0,3.0,4.0,3.0,4.0,5.0,5.0,,Current,,,, Quality Engineer,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,,,"Great benefits, good work environment",Lower pay and higher work load.,None
Woodward,WWD, CO,Fort Collins,"February 13, 2021",,,3.0,4.0,2.0,4.0,3.0,4.0,3.0,Former,,,,, Anonymous Employee ,Disapproves of CEO,full time,,,,More than 3 years,,,,Clean work environment. Everything has a place.,"Too much focus of regular employees (Assemblers, Machinists, etc) is wasted on functions above one’s paygrade. Eg. CI projects.   Micromanagement central (depending on supervisor)",Treat Employees Like People and Not Robots
Woodward,WWD, CO,Fort Collins,"February 23, 2021",,,3.0,,,,,,,Former,,,,, Project Manager ,"Doesn't Recommend, Negative Outlook",full time,,,,,,,,they have decent benefits for most part,not the company it used to be,None
Woodward,WWD, CO,Fort Collins,"January 30, 2021",,,3.0,3.0,2.0,1.0,2.0,3.0,1.0,Former,,,,, Electronic Assembler ,"Recommends, Negative Outlook, Approves of CEO",full time,,,,,More than 5 years,,,Benefits were awesome if you stayed long enough. Bonuses were nice when you got them.,Pay was low. Only had one review per year and management always could find problems with your work so you couldn’t get a big raise,Quit going to so many meetings and support your workers.
Woodward,WWD, CO,Fort Collins,"January 7, 2021",,,4.0,2.0,5.0,4.0,2.0,4.0,3.0,,Current,,,, Engineering Development Technician,"Recommends, Neutral Outlook, Approves of CEO",full time,,,,,More than 5 years,,,Great benefits and working environment,"Long hours, poor work life balance, and if you’re good at something don’t expect to move from that position.",None
Woodward,WWD, CO,Fort Collins,"January 6, 2021",,,5.0,4.0,5.0,4.0,4.0,5.0,4.0,,Current,,,, Customer Account Manager,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,,,Great company with commitment to growth and technology,Micromanagement causes significant inefficiencies and lack of growth,None
Woodward,WWD, CO,Fort Collins,"January 5, 2021",,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Former,,Intern,,, Engineering Intern,None,,,less than a year,,,,,,"Nice, friendly people. Good place to grow.",Nothing comes to mind at this time.,None
Woodward,WWD, CO,Fort Collins,"December 13, 2020",,,5.0,4.0,5.0,5.0,3.0,4.0,4.0,,Current,,,, Quality Manager,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,,More than 10 years,Excellent company to work for. Leadership always considers decisions that impacts their members. Still feels like the family based business from years ago.,Aerospace markets typically drop every 7 years and lags the general economy about 18 months. Length of service is important.,None
Woodward,WWD, CO,Fort Collins,"December 29, 2020",,,4.0,,,,,,,Former,,,,, Application,NULL,,part time,,,,,,,Stock has performed well over the past 30 years,Too many middle managers who spend all their time managing up,None
Woodward,WWD, CO,Fort Collins,"February 4, 2021",,,3.0,4.0,4.0,5.0,3.0,3.0,4.0,,Current,,Contractor,, Technical Analyst,"Recommends, Positive Outlook, Approves of CEO",,,,More than a year,,,,,Great benefits and many long term employment opportunities,Slow moving and stagnant technology,Bring your technology into the 21st century
Woodward,WWD, CO,Fort Collins,"July 21, 2020",,,3.0,3.0,3.0,,2.0,4.0,2.0,Former,,,,, Operations Technician,"Recommends, Negative Outlook, Approves of CEO",full time,,,More than a year,,,,,"Starting at Woodward is great, they offer a high introductory wage with good benefits (after at least 90 days of employment). With an overall good working environment, there wasn't a day I woke up and dreaded having to go in.","Once you are in, your value to Woodward seems to decrease as the time passes. Sure, there are yearly raises and opportunities to ""level up"" to increase your salary, but once you have more than 6 months under your belt, you will cost more than a fresh hire and, regardless of what you do, it seems you cannot stand out. It takes about a 3 weeks to train someone new which is expensive, but after that a new hire can pretty much cross-train on anything, since every position has a slideshow that walks you through every step of every process, eliminating individual value of the employee. Woodward is also understandably anti-union, and every effort by employees to involve a union is dealt with, mostly with some half-hearted effort to make life marginally better for employees.","Appreciate the veterans of Woodward more, people who have been with Woodward almost their whole lives. I worked with many people who were on the verge of retirement and didn't make much more than I did, though I was a new-hire at the time."
Woodward,WWD, CO,Fort Collins,"January 12, 2021",,,3.0,3.0,3.0,4.0,4.0,3.0,3.0,Former,,Intern,,, Mechanical Engineer Intern ,"Recommends, Neutral Outlook, No opinion of CEO",,,,,More than 3 years,,,,"Excellent place to learn engineering skills beyond school. Friendly co-workers, management typically wants to help as best they can. Pay is reasonable","Some departments were understaffed and over worked. Company culture can be a bit of a downer, but no company is perfect. Take what you can get",None
Woodward,WWD, CO,Fort Collins,"February 3, 2021",,,3.0,3.0,2.0,,3.0,3.0,3.0,Former,,,Contractor,, Software Engineer ,None,,,,,,,,,"Good management, good exposure to tools","Tight schedules, too much monitoring",None
Woodward,WWD, CO,Fort Collins,"September 23, 2020",,,4.0,4.0,4.0,,4.0,5.0,4.0,,Current,,,, Anonymous Employee ,"Recommends, Negative Outlook",full time,,less than a year,,,,,,Great pay and benefits. I personally have a great boss to work for but is very busy so have limited time interacting but always seems available when needed.,"Hard to get help from people you do not regularly work with. People are reluctant to respond to emails if they do not k is you. Also difficult to learn all the Woodward systems, processes and policies.",Improve on boarding process. Manager training was two sessions and was only HR related material. Need more job related training other than on the floor. Having some training in basic computer screens in their system while training would be beneficial.
Woodward,WWD, CO,Fort Collins,"January 17, 2021",,,3.0,1.0,2.0,3.0,4.0,5.0,2.0,Former,,,,, Senior Financial Analyst,"Recommends, Neutral Outlook, No opinion of CEO",full time,,,,More than 3 years,,,,"Gained lots of professional experience, felt close connection to colleagues, fair compensation and good benefits","Often overloaded with work, Company is profit focused, not very Customer-oriented",None
Woodward,WWD, CO,Fort Collins,"December 2, 2020",,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Former,,,Contractor,, Test Engineer,"Recommends, Positive Outlook, Approves of CEO",,,,More than a year,,,,,Enough space to develop. Great relationship between workers.,"As a large aerospace industry, there is too much procedure to follow which consumes time.",None
Woodward,WWD, CO,Fort Collins,"September 21, 2020",,,4.0,1.0,2.0,,4.0,4.0,2.0,Former,,,,, Mechanical Assembler II,"Recommends, Negative Outlook, No opinion of CEO",full time,,,,,,More than 8 years,,"Good benefits - large portion of health care paid, 401K match, annual bonus. Up until this year, lots of overtime offered but not always required. Many opportunities to move around and up in the company, again not so much this year.",Very bottom-line oriented. They are not afraid to let people go with little notice. They preach work/life balance but look down on you when family comes first. Middle management was mostly open to suggestions for improvements but ideas rarely went to upper management for implementation.,None
Woodward,WWD, CO,Fort Collins,"July 23, 2020",,(2),1.0,1.0,1.0,,1.0,1.0,1.0,Former,,,,, Automation Technician,"Doesn't Recommend, Negative Outlook, Disapproves of CEO",full time,,,,More than 3 years,,,,"Starting pay is alright, and they had a cafeteria with some decent food that I got nice and fat off of.","3+ years of staying late to work blue folder jobs, going above and beyond, volunteering to do overtime and coming in on off days, for what?   Company does not reward its motivated and hard working employees. Doing the bare minimum ‘button pushers’ make exactly the same as people going above and beyond to outperform. The raises are exactly the same for the worst and best employees. HR is highly incompetent and you won’t be able to get any help from them or hear from them unless you’re in trouble. Company also pays below industry averages. I quit before the layoffs because my boss had lied to me about getting me a significant raise for taking a job in a specialized position of which I was the only trained member, and instead after waiting a whole year opted to pay me the same as button pushers. Another boss before him (still within Woodward) frequently yelled at employees and generally treated us poorly. Went from making 20 with Woodward to 34 at my new position at another company doing similar work! Would recommend their competitors instead.",Advice is pointless when management is not the type to listen. Hopefully you’ve all sold your annual shares by now.
Woodward,WWD, CO,Fort Collins,"October 1, 2020",,,4.0,4.0,4.0,3.0,3.0,3.0,2.0,,Current,,,, Customer Quality Engineer,"Recommends, Neutral Outlook, No opinion of CEO",full time,,,,,,,,Collaborative working environment Good benefits once you have been with the company 2 years,Management is still running the company like it was 30 years ago Manufacturing environment is as fast-paced as anywhere - be prepared for changing priorities,Invest in your IT like your business depends on it. Invest in your APQP like you can't afford to lose new business.
Woodward,WWD, CO,Fort Collins,"November 20, 2020",,,5.0,,,,,,,Former,,Intern,,, Mechanical Engineer,None,,,,,,,,,Good work culture and great pay/benefits,Overtime sometimes required depending on project phase,None
Woodward,WWD, CO,Fort Collins,"January 26, 2020",,,5.0,3.0,5.0,,4.0,4.0,3.0,Former,,,,, Corporate Program Coordinator,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,More than 8 years,,"Benefits are amazing and Pay is relatively in the middle of the pack for manufacturing. Three weeks vacation and 7 sick days to start. After your third year you will begin earning about 6 hours a year. Roughly 8 company observed paid holiday's. The Membership, Woodward is very diverse and has a very culture rich environment. You will have opportunities to improve processes and will learn lean manufacturing principles. This company has very lucrative long term contracts so company security is second to none and you receive stock options. It is in your best interest to do the best job you can for the customer because your retirement plan will be rewarded. There is more to be said.....","You will have cons at any company but the number one here in my opinion is Human Resources! They make policies that make it much more difficult for members to advance or remain at their current pay levels. Depending on what your position is with the company you can plan to work up to 10 hours days and almost every Saturday. I like to look at the hours as a positive, they have so much work that there are not enough hours in a day to do it all. They have implemented flights or rotating weekends so you may not get stung all the time. Need not apply if you're lazy, members don't need to be picking up your slack.",None
Woodward,WWD, CO,Fort Collins,"November 3, 2020",,,4.0,5.0,5.0,4.0,5.0,5.0,5.0,Former,,Intern,,, Manufacturing Engineer,"Recommends, Neutral Outlook",,,less than a year,,,,,,Good pay and nice people,Interns didn't all have very rewarding responsibilities,None
Woodward,WWD, CO,Fort Collins,"November 6, 2020",,,4.0,,,,,,,Former,,,,, Program Manager,NULL,full time,,,,,,,,"The benefits are awesome, yea!",Business affected by ups and downs in transportation.,None
Woodward,WWD, CO,Fort Collins,"October 28, 2020",,,5.0,3.0,5.0,5.0,5.0,5.0,5.0,Former,,Intern,,, Engineering Intern,"Recommends, Positive Outlook, Approves of CEO",,,less than a year,,,,,,"Good people, Always food, Result oriented","Very deadline orientated, could be chaoutic",None
Woodward,WWD, CO,Fort Collins,"October 16, 2020",,,5.0,3.0,5.0,5.0,5.0,5.0,5.0,Former,,,,, Mechanical Assembler,"Recommends, Positive Outlook, Approves of CEO",full time,,,,More than 3 years,,,,"Great pay, fair place to work",Need to be more flexible,None
Woodward,WWD, CO,Fort Collins,"December 11, 2020",,,3.0,,,,,,,Former,,Intern,,, Engineering Intern,None,,,,,,,,,it was fine good experience,too much overtime and turnover,None
Woodward,WWD, CO,Fort Collins,"September 23, 2020",,,5.0,4.0,5.0,,4.0,4.0,,Former,,Intern,,, Engineering Intern ,"Recommends, Positive Outlook, Approves of CEO",,,,,More than 3 years,,,,Great people to work with,None. I can't think of anything to say bad about this company.,None
Woodward,WWD, CO,Fort Collins,"September 24, 2020",,,4.0,,,,,,,Former,,,,, Clean Room Associate,Recommends,full time,,,More than a year,,,,,Awesome benefits and a great atmosphere,Sometimes management needs a push in the right direction,None
Woodward,WWD, CO,Fort Collins,"November 30, 2020",,,3.0,,,,,,,Former,,,,, Engineering Intern,NULL,full time,,,,,,,,the people were very nice,too much pressure to deliver,None
Woodward,WWD, CO,Fort Collins,"September 3, 2020",,,4.0,4.0,5.0,,4.0,3.0,4.0,Former,,,,, Engineering Intern,"Recommends, Approves of CEO",full time,,,More than a year,,,,,"Lots of opportunities to network and assist with various projects. Relaxed and professional atmosphere, and the leadership trusts interns to work somewhat autonomously.",Relatively low pay with raises for returning interns.,None
Woodward,WWD, CO,Fort Collins,"September 22, 2020",,,5.0,,,,,,,,Current,,,, Consultant,NULL,full time,,,,,,,,Provides great benefits to employees,I wish they paid more,None
Woodward,WWD, CO,Fort Collins,"October 25, 2020",,(1),2.0,3.0,2.0,4.0,4.0,4.0,3.0,,Current,,,, Engineering Manager,"Doesn't Recommend, Positive Outlook, No opinion of CEO",full time,,less than a year,,,,,,A lot of good people at the lower levels. Very interesting work.,Policies are not pro-employee. Culture tends towards micromanagement.,"Empower the individuals. Scrap the ""tactical"" approach."
Woodward,WWD, CO,Fort Collins,"August 12, 2020",,(2),2.0,1.0,2.0,,1.0,3.0,1.0,Former,,,,, Operations Technician,"Doesn't Recommend, Negative Outlook, No opinion of CEO",full time,,,,More than 3 years,,,,"Decent benefits and clean environment,",Leadership is the biggest issue at this company. They are constantly implementing the flavor of the month and then changing direction. The Operations Technician was implemented five years ago and they still don’t have it finalized. We did similar work to Collins employees but get paid a fraction of what they get paid. The company says they have core values but only certain people are held accountable for upholding core values. The good old boy club is alive and well at Woodward from the top down.,Walk the talk.
Woodward,WWD, CO,Fort Collins,"August 28, 2020",,,4.0,3.0,3.0,,4.0,4.0,4.0,Former,,,,, Manufacturing Engineer,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,,More than 10 years,Reasonable pay and vacation time,They tend to have many layoffs for production workers,Keep up the good work
Woodward,WWD, CO,Fort Collins,"October 31, 2020",,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Former,,,,, Assembly,NULL,full time,,,,More than 3 years,,,,"Benefits, People, jobs, Events & Activities","Favoritisms, low pay increases, HR dept, rumor mill rampant, good ole boys club",None
Woodward,WWD, CO,Fort Collins,"August 25, 2020",,(1),4.0,4.0,3.0,,3.0,2.0,2.0,,Current,,,, Senior Engineer ,"Negative Outlook, No opinion of CEO",full time,,,,,More than 5 years,,,"job security, interesting work, good coworkers","low compensation, limited opportunity for growth",None
Woodward,WWD, CO,Fort Collins,"August 26, 2020",,,5.0,2.0,5.0,,5.0,5.0,5.0,Former,,,,, Mechanical Assembler ,NULL,full time,,,,,,,,Co-workers great pay great supervisor and team lead great benefits,Home life and work life balance,None
Woodward,WWD, CO,Fort Collins,"September 4, 2020",,,4.0,,,,,,,,Current,,,, Mechanical Assembler,NULL,full time,,,,,,,,Good benefits and people here,Upper management changes are hard,None
Woodward,WWD, CO,Fort Collins,"August 23, 2020",,,5.0,4.0,4.0,,4.0,5.0,4.0,Former,,,,, Operation Technician,"Recommends, Neutral Outlook, Approves of CEO",full time,,,More than a year,,,,,benefits were amazing and pay was great,management wasn't always around when needed,None
Woodward,WWD, CO,Fort Collins,"October 28, 2020",,,3.0,4.0,1.0,2.0,2.0,2.0,1.0,,Current,Intern,,, Machinist,"Recommends, Neutral Outlook, No opinion of CEO",,,less than a year,,,,,,learned about machining gd&t good people nice facility,management involvement with other groups pay was fairly low,None
Woodward,WWD, CO,Fort Collins,"June 29, 2020",,,5.0,5.0,5.0,,5.0,5.0,5.0,Former,,,,, Assembler,"Recommends, Positive Outlook, No opinion of CEO",full time,,less than a year,,,,,,"The company cares about their employees and their customers, and also has a lot of great opportunities to grow within.",It may be stressful because the parts are expensive and have to be perfect or it could turn into someones life at risk.,The open communication is great!
Woodward,WWD, CO,Fort Collins,"October 12, 2020",Covid_19,,1.0,1.0,1.0,5.0,2.0,3.0,1.0,Former,,,,, Operations Technician,"Doesn't Recommend, Negative Outlook, No opinion of CEO",full time,,,,,,More than 8 years,,"Great engineering, competent workers. People get the job done despite preventable problems.",Incompetent leadership and HR. These two things are driving and have drove away very good people. Even in this trying time of covid 19 good people are leaving the company.,HR needs to let leadership run their areas and leadership need to learn to lead again.
Woodward,WWD, CO,Fort Collins,"August 4, 2020",,,4.0,,,,,,,,Current,,,, Staff Mechanical Engineer,NULL,full time,,,,,,,,"Good management, smart and friendly employees. People balance work and fun well.",Most things are great except there's no paternal leave.,None
Woodward,WWD, CO,Fort Collins,"July 11, 2020",,,4.0,5.0,3.0,,4.0,4.0,3.0,,Current,,,, Staff Software Engineer,"Recommends, Neutral Outlook, No opinion of CEO",full time,,,More than a year,,,,,"Great people. Middle management is supportive, kind and level-headed",Continuously changing senior management team and structure imposed by executive management in other locations. Sales and product management over promises and leaves functional teams under-resourced.,Plan more. Be stable.
Woodward,WWD, CO,Fort Collins,"August 15, 2020",,,5.0,4.0,4.0,,5.0,4.0,5.0,,Current,,,, Mechanical Assembler,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,,,Good health benefits decent job,salary not competitive or whatever,None
Woodward,WWD, CO,Fort Collins,"August 6, 2020",,,5.0,5.0,3.0,,2.0,5.0,3.0,Former,,,,, Senior Accountant,"Recommends, Positive Outlook, Approves of CEO",full time,,less than a year,,,,,,great health benefits and hsa,manager was a bit sexist,none
Woodward,WWD, CO,Fort Collins,"August 4, 2020",,,4.0,5.0,5.0,,4.0,4.0,4.0,,Current,,,, Mechanical Engineer I,"Recommends, Neutral Outlook, No opinion of CEO",full time,,,,,,,,"Good people to work with, flexibility","Pay could be better, lack of training",None
Woodward,WWD, CO,Fort Collins,"May 15, 2020",,(1),4.0,4.0,5.0,,4.0,5.0,4.0,Former,,,,, Senior Mechanical Engineer,"Recommends, Neutral Outlook, Approves of CEO",full time,,,,More than 3 years,,,,Coworkers are all very skilled and helpful. Products are high quality and processes are strictly held and updated regularly.,Difficult to advance unless you complete many tasks on standardized checklists. Lots of rules and standards to learn and follow. High expectations for results and output.,Management needs to be more engaged with coworkers to find out roadblocks and help them be more productive.
Woodward,WWD, CO,Fort Collins,"June 11, 2020",,,4.0,,,,,,,Former,,,Contractor,, Operations Engineer,"Recommends, Positive Outlook, No opinion of CEO",,,less than a year,,,,,,"Great team, intriguing work, learned a lot, different work every day",Some long stretches of boring work,"Talk to the people a couple of steps below you, they probably have good ideas about how to fix things because they are actually in the thick of things."
Woodward,WWD, CO,Fort Collins,"May 22, 2020",,,3.0,3.0,4.0,,3.0,4.0,3.0,Former,,,,, Operations Technician,"Recommends, Negative Outlook",full time,,,,More than 3 years,,,,Most everyone treats employees with courtesy and respect across the board. The training program is excellent.,"Every person in my technician department received the same annual raise regardless of performance metrics. Some of the technicians know that if they perform at the bare minimum, they have less of a likelihood to have quality issues. This lead to people working for about 2 hours per shift and lying about their time, knowing they won't be punished for laziness.  They don't seem to promote from within the company very much.",Favoritism is out of hand. Your charismatic and fun employees are often the ones that don't perform their job duties and it's so often overlooked.
Woodward,WWD, CO,Fort Collins,"June 15, 2020",,,5.0,5.0,5.0,,5.0,5.0,5.0,,Current,,,, Mechanical Assembly I,"Recommends, Positive Outlook, Approves of CEO",full time,,,More than a year,,,,,The company really looks out for it's employees.,"Sometimes, there is a lot of mandatory overtime (which could be a pro, depending on your outlook).",Keep up the good work!
Woodward,WWD, CO,Fort Collins,"July 7, 2020",,,4.0,,,,,,,Former,,,,, Operations Engineer,NULL,full time,,,More than a year,,,,,Great benefits and a clean facility,Lackluster training and massive layoffs,None
