Company_name,Ticker,Headquarters_State,Headquarters_City,Date,Covid_19,helpful,Overall_Score,Work_Score,Culture_Score,Diversity_Score,Career_Score,Compensation_Score,Senior_Manage_Score,Past,Current,Intern,Contract,Freelance,Position,evaluation,Full_time,Part_time,Less_than_a_year,more_than_a_year,more_than_3_years,more_than_5_years,more_than_8_years,more_than_10_years,Pros,Cons,Advice to Management
Wolverine Worldwide,WWW, MI,Rockford,"February 19, 2021",,,5.0,,,,,,,Former,,,,, Site Merchandiser,NULL,full time,,,,,,,,"great people, a collabrative environment,",none that i can think of,None
Wolverine Worldwide,WWW, MI,Rockford,"March 10, 2021",Covid_19,Helpful,1.0,1.0,1.0,1.0,1.0,4.0,1.0,,Current,,,, Manager ,"Doesn't Recommend, Negative Outlook, Disapproves of CEO",full time,,,,More than 3 years,,,,"50% discount across all brands As with any job, many smart and enjoyable coworkers (although no ones stays around long)","Constantly short staffed due to high turn over. Head count isn't always replaced when someone leaves. The company furloughed almost half of the team last year in April, and didn't bring many back. Those left worked and are still working insane hours. There is no work / life balance.  The company cares much more about business than people. This was especially apparent when they wanted us all back in the office last summer (starting in July 2020) through fall in the middle of the pandemic, even though many were uncomfortable coming into the office.  It is extremely difficult to get promoted. Many leave after only a few years because careers are at a standstill at Wolverine.  It is nearly impossible to get full bonus. Business isn't great for many brands, so budgets and resources are always being cut. They refuse to invest in the resources, people, marketing budgets, required to meet the aggressive goals set out, which makes the goals virtually unreachable. The focus is entirely on growing the web business, so if you aren't on that team, you can forget about getting any assistance or resources from the company to help you succeed at your job. New leaders are brought in constantly, as people cycle in and out of the company regularly. Every few years the direction is changing. Not a lot of vision or consistency.","Many senior leaders need serious leadership training. They don't know the first thing about motivating teams, fostering collaboration, retaining talent, or building culture. The environment is toxic, the turnover rate is appalling, and the finger pointing from the top is sad."
Wolverine Worldwide,WWW, MI,Rockford,"March 24, 2021",,,4.0,4.0,5.0,3.0,5.0,2.0,4.0,Former,,,,, Senior Account Executive,"Recommends, Positive Outlook, No opinion of CEO",full time,,less than a year,,,,,,Amazing Company and great brands give access to moving up and excelling within the WWW group of brands. Amazing training and onboarding program.,The one con I experienced was an unfair change in bonus payment structure after the bonus was already earned and owed to me.,Review your bonus structure changes prior to bonuses being earned! Fair compensation and benefits other than the unfair bonus payment structure changes.
Wolverine Worldwide,WWW, MI,Rockford,"April 1, 2021",,,4.0,5.0,5.0,5.0,3.0,3.0,4.0,,Current,,,, Retail Sales Associate,"Recommends, Positive Outlook, No opinion of CEO",,part time,less than a year,,,,,,Great customer base and products,Some communications from corporate can be delayed or sudden.,None
Wolverine Worldwide,WWW, MI,Rockford,"March 23, 2021",,,4.0,,,,,,,,Current,,,, Assistant Manager,NULL,full time,,,,,,,,Fun place to work jx,Sometimes overworked but not too bad,None
Wolverine Worldwide,WWW, MI,Rockford,"March 28, 2021",,,3.0,2.0,3.0,2.0,2.0,3.0,1.0,,Current,,,, Financial Analyst ,"Doesn't Recommend, Negative Outlook, Disapproves of CEO",full time,,,More than a year,,,,,"1/2 day fridays in the summer are fantastic; good employe discount. Good co workers, women in some leadership positions",On outdated approach to business that hinders growth of the company and self. You’ll feel stuck.,Systemic revaluation of procedures and a more progressive look on driving growth and employee development
Wolverine Worldwide,WWW, MI,Rockford,"April 1, 2021",,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Current,,,, Digital Marketing Specialist,"Doesn't Recommend, Negative Outlook, Disapproves of CEO",full time,,,More than a year,,,,,decent pay and cool experiences,heavy work load and no diversity,None
Wolverine Worldwide,WWW, MI,Rockford,"March 17, 2021",,,3.0,2.0,3.0,3.0,3.0,2.0,2.0,Former,,,,, Store Manager ,"Doesn't Recommend, Negative Outlook, No opinion of CEO",full time,,,,More than 3 years,,,,Kinda let you do whatever you want,They get mad at you when you do whatever you want,"Set clear boundaries, rules that everyone should follow! But also give store managers the power to make decisions when it comes to how to get coverage for the store."
Wolverine Worldwide,WWW, MI,Rockford,"March 23, 2021",,,3.0,3.0,4.0,4.0,3.0,5.0,2.0,Former,,,,, Senior Account Executive ,"Doesn't Recommend, Positive Outlook, No opinion of CEO",full time,,,More than a year,,,,,"Great salary and bonus compensation, good benefits",A lot of travel and poor product training.,None
Wolverine Worldwide,WWW, MI,Rockford,"December 3, 2020",,(5),1.0,3.0,1.0,1.0,2.0,1.0,1.0,Former,,,,, Anonymous Employee,"Doesn't Recommend, Negative Outlook, Disapproves of CEO",full time,,,,More than 3 years,,,,If you live in close proximity If you are a lover of shoes and apparel Company discount,"Zero diversity whatsoever - 1000+ corporate employees and only 7 of them are black. It’s shameful.   No such thing as a Diversity and Inclusion Department - never has been one and never will be one.  Only 1 person of color in any kind of position of leadership across the entire global organization.   Black employees and employees of color that have a voice and have ideas and opinions, are not afforded the opportunity to vocalize or share their intellectual capital.   The few diverse employees that WW has had over the years have quite systematically been ostracized and forced out or fired.   Employee salaries are woefully behind the times and at the very bottom, if not below, the current market range.   Salary increases and raises are largely hard to come by and used as leverage and justification for a very poor working environment and culture and used to justify unrealistic company expectations of the employees.",Pay employees the market value for the roles they are in.
Wolverine Worldwide,WWW, MI,Rockford,"February 23, 2021",,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,Current,,,, National Account Executive,"Recommends, Neutral Outlook, Approves of CEO",full time,,,,,,,,great brands to work with,none that is necessary to discuss,None
Wolverine Worldwide,WWW, MI,Rockford,"March 3, 2021",,,3.0,4.0,3.0,4.0,1.0,3.0,3.0,,Current,,,, Store Manager,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,More than 8 years,,"Great products, brand integrity, decent pay.",No upward movement beyond store manager. All DMs hired from the outside.,"Live your values. If your people are the difference, show them by developing them and allowing them to grow to the next level."
Wolverine Worldwide,WWW, MI,Rockford,"March 4, 2021",,,3.0,3.0,3.0,3.0,3.0,5.0,3.0,Former,,,,, Senior Business Systems Analyst,"Negative Outlook, No opinion of CEO",full time,,,,,,,More than 10 years,"If you are a young professional, there are lots of benefits from onsite daycare, social gatherings, doggie daycare, onsite gym and basketball. Employee discount is good too.",Stressful environment with decisions made not explained.,None
Wolverine Worldwide,WWW, MI,Rockford,"January 24, 2021",,,2.0,1.0,1.0,2.0,1.0,3.0,2.0,,Current,,,, Manager ,"Doesn't Recommend, Neutral Outlook, Disapproves of CEO",full time,,,,,,More than 8 years,,The company is full of great brands. There are so many innovative team members.,There is very little understanding on what work is needed to get projects done.   There is just an expectation to get projects done regardless on whether we have the resources or a plan.   If there isn't action soon then we will lose out to the competition and those innovative employees will leave.,"Invest in comprehensive (all dept.) planning, project management, internal career growth and technology. Don't be afraid to take a chance on innovation. Plan for short term and long term."
Wolverine Worldwide,WWW, MI,Rockford,"March 10, 2021",,,3.0,3.0,3.0,2.0,3.0,2.0,1.0,Former,,,,, Visual Merchandiser,"Doesn't Recommend, Negative Outlook, Disapproves of CEO",full time,,,More than a year,,,,,Was great for awhile and had great people and culture but that changed,Restructuring and layoffs changed the positive culture,None
Wolverine Worldwide,WWW, MI,Rockford,"February 18, 2021",,,3.0,4.0,3.0,1.0,3.0,4.0,1.0,Former,,,,, Human Resources ,Recommends,full time,,,,,,,,"Great community. Some awesome benefits include onsite childcare and gym, they make it very easy to spend a lot of time there!",Found it difficult to get support from leaders in my position. Made it hard to perform some aspects of the job,None
Wolverine Worldwide,WWW, MI,Rockford,"January 19, 2021",Covid_19,,3.0,4.0,2.0,2.0,3.0,3.0,3.0,Former,,,,, Digital Marketing Specialist,"Doesn't Recommend, Positive Outlook, No opinion of CEO",full time,,less than a year,,,,,,"Ecommerce team is awesome. I loved working with them. Everyone is willing to help and the managers are smart, goal driven and will jump in when needed. Aggressive goals for 2021 but I believe they will accomplish them. Discount is good too.","Corporate structure and little room to move once you get to a certain level. Personally, I did not stay long enough to get to a point where I could not move up but at this company there are positions you have to wait for to open up in order to interview for a promotion and they do not come often. Salary is not as competitive as others in the area.","Ecomm management is amazing. I think executive leadership needs to take a page out of their book. As a team we crushed it this year. Yes, this year was tough because of COVID and I'm pretty sure every company that has an Ecommerce site did well in online sales but the numbers we exceeded was no accident. Ecomm had a plan and as leaders they executed along with all Ecomm specialists being on the same page, holding specialists accountable as well as themselves when something went wrong. Team mentality and team goals even though Ecomm specialists technically manage different brands. Executive Management - with a portfolio style Wolverine Worldwide has, it is tough to collaborate with all brands to be on one page which leads to unshared ideas, successes and failures. I believe this has lead to brands trying to figure it out for themselves. This is why I am suggesting taking a page out of the Ecomm team's book and learn from them. From personal experience there is a clear disconnect with ecomm, brand and product. Truly, I do think the new CEO will do great things and bring this company to its potential. He is having a big focus on ecomm but these changes will take time."
Wolverine Worldwide,WWW, MI,Rockford,"January 25, 2021",,,4.0,,,,,,,Former,,,,, Assistant Manager ,NULL,full time,,,,,,,,"Great pay, good upper management, room for growth",Not enough work life balance and the company cracks down hard on KPIs,None
Wolverine Worldwide,WWW, MI,Rockford,"August 11, 2020",,(1),3.0,3.0,1.0,,4.0,4.0,1.0,Former,,,,, Anonymous Employee,"Recommends, Neutral Outlook, Disapproves of CEO",full time,,,,,More than 5 years,,,"Free shoes, great flash sales  fun outside of work activities (depending on which brand you work for) Great place to climb the ladder if you have the drive Becoming more open minded with working from home  Daycare on site  GTM on site","certain brands get special treatment like updated work spaces. Everyone in the original building are left with what’s availability but there is no urgency to align our brands with the same working environment. Communication is awful and in some cases non existent. There is a lot of potential for these teams to do great together but the higher ups don’t see the critical needs for team bonding and encouraging others to communicate more and more importantly LISTEN to others who might be having issues. We’re not a team if everyone’s on a different page.  Nearly impossible to get a raise . It all depends on your higher ups. If they don’t like you, you don’t get a raise, fair and square.",Get to know your employees. Take some time to incorporate team bonding activity at last once a month. 
Wolverine Worldwide,WWW, MI,Rockford,"January 12, 2021",,,5.0,,,,,,,,Current,,,, Assistant Manager ,NULL,full time,,,,,,,,Gray pay and benefits. . .,Nothing I have a great time on the company,None
Wolverine Worldwide,WWW, MI,Rockford,"February 17, 2021",,,3.0,3.0,3.0,3.0,4.0,3.0,2.0,Former,,,,, Business Systems Analyst,"Doesn't Recommend, Neutral Outlook, Disapproves of CEO",full time,,,,,,,More than 10 years,"Gym on Premise, Some friendly people","large layoffs every 2-3 years, some management don't care about lower people",None
Wolverine Worldwide,WWW, MI,Rockford,"February 20, 2021",,,3.0,,,,,,,Former,,,,, Human Resources Manager,"Doesn't Recommend, Neutral Outlook, No opinion of CEO",full time,,less than a year,,,,,,"Short commute, friendly and nice staff","lack of diversity, no employee handbook",None
Wolverine Worldwide,WWW, MI,Rockford,"February 21, 2021",,,3.0,,,,,3.0,,Former,,,,, Sales Associate ,NULL,,part time,,,,,,,"Good Hours, workers and management",Store where I worked closed,None
Wolverine Worldwide,WWW, MI,Rockford,"December 22, 2020",,,4.0,5.0,5.0,5.0,4.0,5.0,5.0,Former,,,,, Part Time Key Holder,"Doesn't Recommend, Positive Outlook, Approves of CEO",,part time,less than a year,,,,,,The company sets standards for each stores and promotes clear communication so every one in the store is on the same page,The hours for malls were not the best,None
Wolverine Worldwide,WWW, MI,Rockford,"February 12, 2021",,,3.0,,,,,,,Former,,,,, Retail Associate Manager ,NULL,full time,,,,,,,,"Loved my store, had an awesome Store Manager and team.",Not a ton of room for growth.,None
Wolverine Worldwide,WWW, MI,Rockford,"December 29, 2020",,,5.0,3.0,4.0,5.0,5.0,3.0,3.0,Former,,,,, Store Manager,"Recommends, Positive Outlook, Approves of CEO",full time,,,,,,,More than 10 years,Great benefits for store management,Tough retail hours limited time off,More family time
Wolverine Worldwide,WWW, MI,Rockford,"February 9, 2021",,,3.0,2.0,4.0,4.0,2.0,4.0,2.0,Former,,,,, Anonymous Employee,"Recommends, Positive Outlook, Approves of CEO",full time,,,,More than 3 years,,,,Good team of people nice to work with,communication was just okay at times,None
Wolverine Worldwide,WWW, MI,Rockford,"December 28, 2020",,,5.0,5.0,5.0,,5.0,5.0,5.0,Former,,,,, Internship,"Recommends, Positive Outlook",full time,,less than a year,,,,,,good environment and nice people,small company and unclear role,None
Wolverine Worldwide,WWW, MI,Rockford,"December 17, 2020",,,5.0,5.0,3.0,3.0,4.0,4.0,4.0,Former,,,,, Key Account Manager,"Recommends, Neutral Outlook, No opinion of CEO",full time,,,,,,,,The people are fantastic to work with!,Decision making is a slow process.,None
Wolverine Worldwide,WWW, MI,Rockford,"February 1, 2021",,,3.0,3.0,3.0,2.0,3.0,3.0,3.0,Former,,,,, Account Executive,"Negative Outlook, Disapproves of CEO",full time,,,More than a year,,,,,Good Team but mislead by internal teams about job security,Unfortunate place to be at the time,None
Wolverine Worldwide,WWW, MI,Rockford,"December 30, 2020",,(1),3.0,4.0,4.0,2.0,4.0,3.0,3.0,Former,,,,, Costing Manager,"Recommends, Positive Outlook, Disapproves of CEO",full time,,,,,More than 5 years,,,Very talented and experienced footwear people. Strong brands with rich history and great product. Openness of fellow associates to support and teach each other.,"Disconnect between teams and offices. Large portfolio of brands and teams creates conflicting views, often leading to a ""do it yourself"" mentality towards progress. Waltham office has isolating work spaces and lacks top amenities.",None
Wolverine Worldwide,WWW, MI,Rockford,"December 24, 2020",,,4.0,4.0,5.0,3.0,3.0,4.0,3.0,Former,,,,, Sales Associate,"Recommends, Positive Outlook, Approves of CEO",,part time,less than a year,,,,,,flexible schedule  management is organized,politics within management boring at times,None
Wolverine Worldwide,WWW, MI,Rockford,"December 12, 2020",,,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,Current,Intern,,, Marketing Intern,"Recommends, Positive Outlook, Approves of CEO",,,less than a year,,,,,,Great company it was very good,Communication can get better and team motivation as well,Listen to your team
Wolverine Worldwide,WWW, MI,Rockford,"January 14, 2021",,,3.0,,,,,,,Former,,Intern,,, Marketing Intern,"Doesn't Recommend, Neutral Outlook, No opinion of CEO",,,less than a year,,,,,,Great discount Met a lot of nice people,"A lot of teams seemed awesome! I think I was just stuck with a competitive,catty group. Ruined the whole experience for me which is a bummer.",None
Wolverine Worldwide,WWW, MI,Rockford,"January 27, 2021",,,2.0,,,,,,,,Current,,,, Teller I,Doesn't Recommend,,part time,less than a year,,,,,,I just had a bad experience,Everything I was just at a bad branch,Support you team no matter what
Wolverine Worldwide,WWW, MI,Rockford,"December 3, 2020",,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Former,,,,, Key Holder,"Recommends, Positive Outlook, Approves of CEO",full time,,,More than a year,,,,,"Discounted shoes, fun people, a free pair of shoes","The store closed down, pay wasn’t the best",None
Wolverine Worldwide,WWW, MI,Rockford,"January 25, 2021",,,3.0,3.0,,,3.0,3.0,,,Current,,,, Director ,NULL,full time,,,,,,,,Team is great and engaged,Dysfunctional leadership with competing brands,None
Wolverine Worldwide,WWW, MI,Rockford,"December 3, 2020",,,5.0,5.0,5.0,2.0,5.0,5.0,5.0,Former,,,,, Sales Associate,NULL,,part time,less than a year,,,,,,Laidback great good boss fun,Slow carrying out to many boxes to floor,None
Wolverine Worldwide,WWW, MI,Rockford,"November 23, 2020",,,4.0,5.0,5.0,5.0,3.0,2.0,4.0,Former,,,,, Sales Associate ,"Recommends, Neutral Outlook, No opinion of CEO",,part time,,More than a year,,,,,Good people to work with,Pay is below average and lack of incentives,None
Wolverine Worldwide,WWW, MI,Rockford,"January 8, 2021",,(1),2.0,1.0,2.0,1.0,1.0,4.0,1.0,Former,,,,, Director,"Doesn't Recommend, Neutral Outlook, Disapproves of CEO",full time,,,,,,,,"Good Brands, hard working people.",Poorly managed. No portfolio management. Everyone making the same products. No focus.,None
Wolverine Worldwide,WWW, MI,Rockford,"October 23, 2020",,(1),4.0,5.0,5.0,4.0,4.0,5.0,4.0,Former,,,,, IT Support Specialist,"Recommends, Negative Outlook, No opinion of CEO",full time,,,,,More than 5 years,,,Good Company to work for. Pay is good. Tuition reimbursement good health benefits.,Retail side is a gamble,None
Wolverine Worldwide,WWW, MI,Rockford,"September 19, 2020",,(1),4.0,3.0,2.0,,3.0,2.0,2.0,Former,,,,, Product Specialist,"Doesn't Recommend, Neutral Outlook, No opinion of CEO",full time,,,,,More than 5 years,,,flexible work environment. Entrust team member to get the job done.,Old and dated mindset and needs to be more forward thinkers. Old school system of operation which blocks new ways of advancing.,"Start acting like a team member and player. The spot light should shine on all members, not one person."
Wolverine Worldwide,WWW, MI,Rockford,"September 15, 2020",,(1),4.0,5.0,5.0,,4.0,5.0,5.0,,Current,,,, ECommerce Specialist ,"Recommends, Positive Outlook, No opinion of CEO",full time,,,More than a year,,,,,"Good benefits, the supervisors really care and work hard to make sure that you are okay in and out of work, there is always help when you need it",Higher ups make changes to our department or directly to things that affect us negatively without bothering to ask first to see how it may affect us,None
Wolverine Worldwide,WWW, MI,Rockford,"November 3, 2020",,,4.0,,,,,,,Former,,,,, Brand Manager ,NULL,full time,,,,,,,,"Great people, professional, casual, friendly.",A great deal of overall change and turnover,None
Wolverine Worldwide,WWW, MI,Rockford,"September 24, 2020",,,4.0,,,,,,,Former,,Intern,,, Color and Trend Design,None,,,,,,,,,"Wolverine worked extremely hard to create a meaningful internship experience in the footwear industry. The people were friendly, and willing to help you learn and explore.",It's very corporate and slow moving in terms of innovation.,None
Wolverine Worldwide,WWW, MI,Rockford,"August 14, 2020",,(1),2.0,2.0,1.0,,1.0,4.0,1.0,Former,,,,, Manager,"Doesn't Recommend, Negative Outlook, No opinion of CEO",full time,,,,More than 3 years,,,,"Compensation, Employee Discount, Customers Nice product",Even if you are within the top ten performing stores in the company - corporate management still micromanages everything you do from conversion accountability to scheduling. Terrible Corporate Management- revolving door for district managers Sales Expectations to high using poorly paid associates that there is no labor budget to train Absolutely no room for growth unless you like to be fake and suck up and even then very rare. Managers open store and close store on single coverage - very low payroll Absolutely no payroll for shipment or merchandising This company uses CCTV to spy on associate not for LP Too many cons to name......,"When you say statements like ""Our employees are what makes our company""- really mean it and treat them with some dignity and respect!!"
