Company_Name,Ticker,Overview,Review
Google,GOOG,"https://www.glassdoor.com/Overview/Working-at-Google-EI_IE9079.11,17.htm",https://www.glassdoor.com/Reviews/Google-Reviews-E9079.htm
Microsoft,MSFT,"https://www.glassdoor.com/Overview/Working-at-Microsoft-EI_IE1651.11,20.htm",https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651.htm
Apple,AAPL,"https://www.glassdoor.com/Overview/Working-at-Apple-EI_IE1138.11,16.htm",https://www.glassdoor.com/Reviews/Apple-Reviews-E1138.htm
Capital One,COF,"https://www.glassdoor.com/Overview/Working-at-Capital-One-EI_IE3736.11,22.htm",https://www.glassdoor.com/Reviews/Capital-One-Reviews-E3736.htm
Qualcomm,QCOM,"https://www.glassdoor.com/Overview/Working-at-Qualcomm-EI_IE640.11,19.htm",https://www.glassdoor.com/Reviews/Qualcomm-Reviews-E640.htm
T-Mobile,TMUS,"https://www.glassdoor.com/Overview/Working-at-T-Mobile-EI_IE9302.11,19.htm",https://www.glassdoor.com/Reviews/T-Mobile-Reviews-E9302.htm
Intel Corporation,INTC,"https://www.glassdoor.com/Overview/Working-at-Intel-Corporation-EI_IE1519.11,28.htm",https://www.glassdoor.com/Reviews/Intel-Corporation-Reviews-E1519.htm
Bank of America,BAC,"https://www.glassdoor.com/Overview/Working-at-Bank-of-America-EI_IE8874.11,26.htm",https://www.glassdoor.com/Reviews/Bank-of-America-Reviews-E8874.htm
SBA Communications,SBAC,"https://www.glassdoor.com/Overview/Working-at-SBA-Communications-EI_IE9253.11,29.htm",https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
CURO Financial Technologies,CURO,"https://www.glassdoor.com/Overview/Working-at-CURO-Financial-Technologies-EI_IE216065.11,38.htm",https://www.glassdoor.com/Reviews/CURO-Financial-Technologies-Reviews-E216065.htm
AppFolio,APPF,"https://www.glassdoor.com/Overview/Working-at-AppFolio-EI_IE225531.11,19.htm",https://www.glassdoor.com/Reviews/AppFolio-Reviews-E225531.htm
Mercury Systems,MRCY,"https://www.glassdoor.com/Overview/Working-at-Mercury-Systems-EI_IE4049.11,26.htm",https://www.glassdoor.com/Reviews/Mercury-Systems-Reviews-E4049.htm
Health Catalyst,HCAT,"https://www.glassdoor.com/Overview/Working-at-Health-Catalyst-EI_IE746219.11,26.htm",https://www.glassdoor.com/Reviews/Health-Catalyst-Reviews-E746219.htm
Atlassian,TEAM,"https://www.glassdoor.com/Overview/Working-at-Atlassian-EI_IE115699.11,20.htm",https://www.glassdoor.com/Reviews/Atlassian-Reviews-E115699.htm
Everbridge,EVBG ,"https://www.glassdoor.com/Overview/Working-at-Everbridge-EI_IE361320.11,21.htm",https://www.glassdoor.com/Reviews/Everbridge-Reviews-E361320.htm
Advantest,ATE,"https://www.glassdoor.com/Overview/Working-at-Advantest-EI_IE7935.11,20.htm",https://www.glassdoor.com/Reviews/Advantest-Reviews-E7935.htm
RingCentral,RNG,"https://www.glassdoor.com/Overview/Working-at-RingCentral-EI_IE197577.11,22.htm",https://www.glassdoor.com/Reviews/RingCentral-Reviews-E197577.htm
SurveyMonkey,SVMK,"https://www.glassdoor.com/Overview/Working-at-SurveyMonkey-EI_IE347449.11,23.htm",https://www.glassdoor.com/Reviews/SurveyMonkey-Reviews-E347449.htm
The Boston Beer Company,SAM,"https://www.glassdoor.com/Overview/Working-at-The-Boston-Beer-Company-EI_IE3099.11,34.htm",https://www.glassdoor.com/Reviews/The-Boston-Beer-Company-Reviews-E3099.htm
Dynatrace,DT,"https://www.glassdoor.com/Overview/Working-at-Dynatrace-EI_IE309684.11,20.htm",https://www.glassdoor.com/Reviews/Dynatrace-Reviews-E309684.htm
Equinix,EQIX,"https://www.glassdoor.com/Overview/Working-at-Equinix-EI_IE11296.11,18.htm",https://www.glassdoor.com/Reviews/Equinix-Reviews-E11296.htm
Intuitive (Intuitive Surgical),ISRG,"https://www.glassdoor.com/Overview/Working-at-Intuitive-Intuitive-Surgical-EI_IE8090.11,39.htm",https://www.glassdoor.com/Reviews/Intuitive-Intuitive-Surgical-Reviews-E8090.htm
Zendesk,ZEN,"https://www.glassdoor.com/Overview/Working-at-Zendesk-EI_IE360923.11,18.htm",https://www.glassdoor.com/Reviews/Zendesk-Reviews-E360923.htm
MongoDB,MDB,"https://www.glassdoor.com/Overview/Working-at-MongoDB-EI_IE433703.11,18.htm",https://www.glassdoor.com/Reviews/MongoDB-Reviews-E433703.htm
Unity Technologies,U,"https://www.glassdoor.com/Overview/Working-at-Unity-Technologies-EI_IE455854.11,29.htm",https://www.glassdoor.com/Reviews/Unity-Technologies-Reviews-E455854.htm
KKR,KKR,"https://www.glassdoor.com/Overview/Working-at-KKR-EI_IE2865.11,14.htm",https://www.glassdoor.com/Reviews/KKR-Reviews-E2865.htm
Teradyne,TER,"https://www.glassdoor.com/Overview/Working-at-Teradyne-EI_IE647.11,19.htm",https://www.glassdoor.com/Reviews/Teradyne-Reviews-E647.htm
Pivotal,PVTL,"https://www.glassdoor.com/Overview/Working-at-Pivotal-EI_IE687287.11,18.htm",https://www.glassdoor.com/Reviews/Pivotal-Reviews-E687287.htm
Salem Media Group,SALM,"https://www.glassdoor.com/Overview/Working-at-Salem-Media-Group-EI_IE9256.11,28.htm",https://www.glassdoor.com/Reviews/Salem-Media-Group-Reviews-E9256.htm
Coupa Software Inc,COUP,"https://www.glassdoor.com/Overview/Working-at-Coupa-Software-Inc-EI_IE217718.11,29.htm",https://www.glassdoor.com/Reviews/Coupa-Software-Inc-Reviews-E217718.htm
Adobe,ADBE,"https://www.glassdoor.com/Overview/Working-at-Adobe-EI_IE1090.11,16.htm",https://www.glassdoor.com/Reviews/Adobe-Reviews-E1090.htm
DraftKings,DKNG,"https://www.glassdoor.com/Overview/Working-at-DraftKings-EI_IE902154.11,21.htm",https://www.glassdoor.com/Reviews/DraftKings-Reviews-E902154.htm
SailPoint Technologies,SAIL,"https://www.glassdoor.com/Overview/Working-at-SailPoint-Technologies-EI_IE449696.11,33.htm",https://www.glassdoor.com/Reviews/SailPoint-Technologies-Reviews-E449696.htm
Talend,TLND,"https://www.glassdoor.com/Overview/Working-at-Talend-EI_IE330195.11,17.htm",https://www.glassdoor.com/Reviews/Talend-Reviews-E330195.htm
Wix,WIX,"https://www.glassdoor.com/Overview/Working-at-Wix-EI_IE391615.11,14.htm",https://www.glassdoor.com/Reviews/Wix-Reviews-E391615.htm
Meritage Homes,MTH,"https://www.glassdoor.com/Overview/Working-at-Meritage-Homes-EI_IE224.11,25.htm",https://www.glassdoor.com/Reviews/Meritage-Homes-Reviews-E224.htm
Fortinet,FTNT,"https://www.glassdoor.com/Overview/Working-at-Fortinet-EI_IE23128.11,19.htm",https://www.glassdoor.com/Reviews/Fortinet-Reviews-E23128.htm
